vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
"Wholesale Peptide Supply in Atlanta, GA",unknown (discovered via search),https://westcoastpeptidesupply.com/,westcoastpeptidesupply.com,sales@westcoastpeptidesupply.com,sales@westcoastpeptidesupply.com,website,https://westcoastpeptidesupply.com/,(909) 737-2467,,,,yes,California,compounding_pharmacy,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, glp-1, gonadorelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",29,,"repo roster (discovery:result:peptide supplier ""Georgia"" lab tested)",,,,,,,ok,1,
About - Husker Peptides,unknown (discovered via search),https://huskerpeptides.com/,huskerpeptides.com,huskerpeptidesinfo@gmail.com,huskerpeptidesinfo@gmail.com,website,https://huskerpeptides.com/,(402) 990-8014,,,,yes,Nebraska,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",28,,"repo roster (discovery:result:research peptides company ""Nebraska"")",,,,,,,ok,7,
USA Research Peptide Supplier - About Peptides Source,unknown (discovered via search),https://peptidessource.is/,peptidessource.is,info@peptidessource.is,info@peptidessource.is,website,https://peptidessource.is/,,,,,yes,Pennsylvania,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, bpc157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, glp1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, tb500, tesamorelin, tesofensine, thymosin",28,,"repo roster (discovery:result:peptide supplier ""Pennsylvania"" lab tested)",,,,,,,ok,5,
"bacterial endotoxins, heavy metals including lead, cadmium, ",unknown (discovered via search),https://peptidedossier.com/,peptidedossier.com,hello@peptidedossier.com,hello@peptidedossier.com; privacy@peptidedossier.com,website,https://peptidedossier.com/about/,,,,,yes,Washington,research_only,,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",27,,repo roster (discovery:outlink:list:mirrorplasticsurgery.com),,,,,,,ok,4,
Follow-up labs at 6–8 weeks are the standard of care.,unknown (discovered via search),https://peptides.academy/,peptides.academy,hello@peptides.academy,hello@peptides.academy; data@peptides.academy; editorial@peptides.academy; privacy@peptides.academy,website,https://peptides.academy/about/,,,,,no,,compounding_pharmacy,,,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, gonadorelin, ipamorelin, kisspeptin, mots-c, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",26,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,7,reads like editorial/affiliate site
Research Peptides in Hawaii | Battle Born Peptides,unknown (discovered via search),https://battlebornresearch.com/,battlebornresearch.com,info@battlebornresearch.com,info@battlebornresearch.com,website,https://battlebornresearch.com/,,,,,yes,Alabama,research_only,yes,yes,"aod-9604, bpc-157, cjc-1295, cjc1295, dsip, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, thymosin",26,,"repo roster (discovery:result:research peptides company ""Hawaii"")",,,,,,,ok,7,
TB-500,unknown (discovered via search),https://mdpep.com/,mdpep.com,support@mdpep.com,support@mdpep.com; contact@mdpep.com,website,https://mdpep.com/,(858) 665-2278,,,,yes,California,compounding_pharmacy,yes,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",26,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,5,
New-U | Buy Research Peptides Online 99%+ Pure,unknown (discovered via search),https://new-u.io/,new-u.io,newu.io.peptides@gmail.com,newu.io.peptides@gmail.com,website,https://new-u.io/,,,,,yes,Wyoming,manufacturing_lab,yes,yes,"aod-9604, bpc-157, bpc157, cjc-1295, epitalon, ghk cu, ghk-cu, glp-1, glp1, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, tirzepatide",25,,"repo roster (discovery:result:peptide vendor ""free shipping over"")",,,,,,,ok,5,
Visit Bluewell Peptides →,unknown (discovered via search),https://bluewellpeptides.com/,bluewellpeptides.com,support@bluewellpeptides.com,support@bluewellpeptides.com; info@bluewellpeptides.com,website,https://bluewellpeptides.com/,,,,,no,,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin",25,,repo roster (listdeep:pepsider.com),,,,,,,ok_chromium,5,
estimated by Dr. Abud Bakri in June 2026 at $5–10 billion an,unknown (discovered via search),https://peptidekey.com/,peptidekey.com,info@peptidekey.com,info@peptidekey.com; legal@peptidekey.com,website,https://peptidekey.com/,,,,,yes,,research_only,,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, tesofensine, thymosin, tirzepatide",24,,repo roster (discovery:outlink:list:mirrorplasticsurgery.com),,,,,,,ok,7,reads like editorial/affiliate site
Peptides in Delaware | Peptide Local,unknown (discovered via search),https://peptidelocal.com/,peptidelocal.com,admin@peptidelocal.com,admin@peptidelocal.com,website,https://peptidelocal.com/,,,,,yes,Alabama,research_only,yes,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin, tirzepatide",24,,"repo roster (discovery:result:peptide supplier ""Delaware"" lab tested)",,,,,,,ok,5,
