vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
Reta-Peptide,United States (Finnrick),https://reta-peptide.com/,reta-peptide.com,admin@reta-peptide.com,admin@reta-peptide.com; ane@reta-peptide.com; gavin@reta-peptide.com; ilsa@reta-peptide.com; tina@reta-peptide.com,website,https://reta-peptide.com/,(582) 090-3569; (763) 851-3883; (852) 672-2182,,,,yes,Georgia,manufacturing_lab,yes,,"cagrilintide, peptide, peptides, retatrutide, semaglutide",5,,Finnrick,,https://www.finnrick.com/vendors/reta-peptide,US,14,250,Trading,ok,7,
Nexaph,United States,https://nexaph.com/,nexaph.com,service@nexaph.com,service@nexaph.com; cain@nexaph.com,website,https://nexaph.com/,(844) 203-5303,,,,yes,,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, epitalon, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, selank, semax, sermorelin, tb500, tesamorelin, thymosin",19,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/nexaph,https://www.finnrick.com/vendors/nexaph,,11,267,Trading,ok,8,Finnrick retatrutide tests (public sample): 1 pass / 0 fail; Finnrick tirzepatide tests (public sample): 3 pass / 0 fail
NuScience,United States,https://nusciencepeptides.com/,nusciencepeptides.com,info@nusciencepeptides.com,info@nusciencepeptides.com,website,https://nusciencepeptides.com/contact,(704) 666-1701,,,,no,,consumer_and_research,,,"peptide, peptides",2,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/nuscience,https://www.finnrick.com/vendors/nuscience-peptides,"US,NM 87111",10,48,Trading,ok_chromium+deep,4,
Peptide Sciences,United States (Finnrick),https://peptidesciences.com/,peptidesciences.com,service@peptidesciencesmail.com,service@peptidesciencesmail.com,website,https://peptidesciences.com/,,,,,no,,consumer_and_research,,,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/peptide-sciences,US: NV 89052,10,132,Trading,ok_chromium,1,
Skye Peptides,United States,https://skyepeptides.com/,skyepeptides.com,support@skyepeptides.com,support@skyepeptides.com,website,https://skyepeptides.com/policies/contact-information,(424) 294-0603,,,,no,,consumer_and_research,,,"peptide, peptides",2,Nothing at all,"PeptideBase, Finnrick",,https://www.finnrick.com/vendors/skye-peptides,US: CA,10,75,Trading,ok_chromium+deep,3,No PeptideBase profile page
HkRoids,United States (Finnrick),https://hkroids.com/,hkroids.com,info@hkroids.com,info@hkroids.com; adam@hkroids.net; alan@hkroids.net; alice@hkroids.net; andy@hkroids.net; anna@hkroids.net,website,https://hkroids.com/,(331) 636-6964; (338) 762-8307; (372) 035-1079,,,,no,,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, cjc1295, dsip, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, thymosin, tirzepatide",31,,Finnrick,,https://www.finnrick.com/vendors/hkroids,US?,9,71,Trading,ok,8,Finnrick tirzepatide tests (public sample): 3 pass / 0 fail
Polaris Peptides,United States,https://polarispeptides.com/,polarispeptides.com,support@polarispeptides.com,support@polarispeptides.com,website,https://polarispeptides.com/,(800) 273-9462,,,,no,,research_only,yes,yes,"glp-1, peptide, peptides",3,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/polaris-peptides,https://www.finnrick.com/vendors/polaris-peptides,US?,9,99,Trading,ok_chromium,5,
Pharma Grade Peptides,United States (roster),https://pharmagradepeptides.is/,pharmagradepeptides.is,sales@pharmagradepeptides.is,sales@pharmagradepeptides.is,website,https://pharmagradepeptides.is/policies/contact-information,,,,,no,,consumer_and_research,,,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/pharma-grade-peptides,,9,18,Trading,ok_chromium+deep,4,
Bulk Peptide Wholesale,United States,https://bulkpeptidewholesale.com/,bulkpeptidewholesale.com,customerservice@bulkpeptidewholesale.com,customerservice@bulkpeptidewholesale.com; jenna@bulkpeptidesupply.com,website,https://bulkpeptidewholesale.com/,(405) 223-8942,,,,yes,Oklahoma,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, motsc, nad+, peptide, peptides, tb-500, tesamorelin",11,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/bulk-peptide-wholesale,https://www.finnrick.com/vendors/bulk-peptide-wholesale,,8,21,Trading,ok,8,
Peptide Partners,United States,https://peptide.partners/,peptide.partners,support@peptide.partners,support@peptide.partners,website,https://peptide.partners/,(941) 231-0291,,,X @PeptidePartners; linktr.ee/peptide.partners; Facebook Peptide.Partners,yes,Wyoming,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, glp-1, peptide, peptides, retatrutide, semaglutide, tirzepatide",9,Tested independently,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/peptide-partners,https://www.finnrick.com/vendors/peptide-partners,,8,91,Payment problems,ok,6,"(941) 231-0291 call/text; 8350 Bee Ridge Rd #379, Sarasota FL 34241; 10am-5pm ET M-F; Finnrick retatrutide tests (public sample): 4 pass / 0 fail; Finnrick retatrutide rating 93%"
