email,company,sent,package,note
support@canlabintl.com,Canlab International,2026-09-20,full,Replied 9 min after first contact asking for the complete price list
daavyresearchpeptides@gmail.com,Daavy Research,2026-09-20,full,"Walking away over the 3000 MOQ: ""Thats $44400! Seriously?"""
info@bosspeptide.com,Boss Peptides,2026-09-20,full,"Martin Shorey. Asked ""You have to order 3000?"", corrected to 100; now negotiating box sizes"
patrick@treasurecoastpeptides.com,Treasure Coast Peptides,2026-09-19,full,Asked for catalogue and pricing
platinumlionpeptides@gmail.com,Platinum Lion Peptides,2026-09-19,full,"Sent as a standalone ""Catalog and info"" mail"
info@gel-labs.com,Gel Labs,2026-09-19,partial,"Gregg Snyder. Catalog and price list, plus WhatsApp number"
ppppeptides@gmail.com,PPP Peptides,2026-09-18,full,Matt. Open to discussing a partnership if pricing works
contact@simonsrx.com,Simon's Compounding,2026-09-18,full,Asked about SLU-PP-332 caps or tabs; we do not offer orals
lawrence@greatlakespeptides.com,Great Lakes Peptides,2026-09-18,full,Lawrence asked to see all products with prices
jim@nextlevelpharm.com,Next Level Pharm,2026-09-18,full,Jim asked for the price list outright
josh@biolongevitylabs.com,BioLongevity Labs,2026-09-18,partial,COA example only. READY TO BUY - already buys US from 3 labs
johanlarsen2001@gmail.com,Peptide Bureau,2026-09-17,full,Told MOQ 100 and 2-week lead time; later asked about dropship - unanswered
info@peptivaresearchlabs.com,Peptiva Research Labs,2026-09-17,full,Asked for custom COAs with their company name
support@calmpeptides.com,Calm Peptides,2026-09-17,full,"Asked for a call, gave 631-848-1055"
support@aminoforge.vegas,AminoForge,2026-09-17,full,"READY TO BUY. Las Vegas, currently sourcing from Texas"
support@vantixbio.com,Vantix Bio,2026-09-17,full,"DECLINED: ""pricing and MOQ far above where we are at right now"""
Chad@omniopeptides.com,Omnio Peptides,2026-09-17,full,Chad wants backup sourcing and small custom runs
support@sigmapeptides.com,Sigma Peptides,2026-09-17,full,Interested; asked how we prove US manufacture and about bac water pricing
info@peptidegroupbuy.com,Peptide Group Buy,2026-09-16,full,"Asked for legal entity and state of formation in writing; chased once, silent since"
support@perxpeptides.com,PeRx Peptides,2026-09-16,partial,Philadelphia Peptide Therapy. Catalog and FAQ
brian@puritideresearch.com,Puritide Research,2026-09-16,partial,"Brian: ""Send the catalog my way please"""
support@onedaycompounds.com,Oneday Compounds,2026-09-15,partial,Will asked for a price list
summer@prettypeptidecollective.com,Pretty Peptide Collective,2026-09-15,partial,"Summer: ""Definitely interested"""
mdauphinee@zerovariancelabs.com,Zero Variance Labs,2026-09-14,partial,"Quoted MOQ ""100 to 1000 units"" - a third figure"
support@happypeptides.com,Mindful Research,2026-09-14,partial,Asked for pricing
support@myoasislabs.com,Oasis Labs,2026-09-14,partial,Wanted a side-by-side comparison
support@restorepeptides.io,Restore Peptides,2026-09-14,partial,Their GM said some of the prices seemed high
support@flatironsrc.com,Flatirons Research,2026-09-14,partial,Tom. Reported our mail was not reaching them - unresolved
support@solyn.com,Solyn,2026-09-14,partial,"Replied: ""about 3-4x what I currently pay"""
info@suaway.com,Suaway Lab Research,2026-09-14,partial,Challenged the US-manufacturing claim; answered with sourcing detail
support@vantageaminos.co,Vantage Aminos,2026-09-14,partial,Asked for catalog and pricing sheet
info@aminoamigos.com,Amino Amigos,2026-09-14,partial,Asked where we are based; told South Carolina and California
Hello@thepeptideplug.ai,The Peptide Plug,2026-09-01,partial,"Catalogs for 100, 2000+ and 503a, after a phone call"
support@longevityprolabs.com,Longevity Pros,2026-09-19,full,Phil Moody. READY TO BUY - orders 100 at a time; call still to happen
info@researchchem.co,Research Chem Co,2026-09-20,full,"""Sure I'd love to hear more"""
support@elyriabio.com,Elyria Bio,2026-09-20,full,Charles Enderle asked for the catalogue
Kevin@peptribe.us,Research Peptide Market,2026-09-20,full,"Kevin Castello: ""Glad to take a look"""
chris@mspeptides.com,Molecular Solutions Peptides,2026-09-20,full,"Chris, the owner. Asked how long we have been in business and where we source API - only the API part was answered"
novaglo@novagloresearch.com,Novaglo Research,2026-09-20,full,"Asked for bulk discounts, payment methods and testing policy; discount tiers still unanswered"
