vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
3-Peat Wellness,3-peatwellnessllc.org,3peatnp@3-peatwellnessllc.org,3peatnp@3-peatwellnessllc.org,yes,ok,https://3-peatwellnessllc.org,medspa,"nad+, glutathione",7
406 Medical Weight Loss,406medicalweightloss.com,admin@406medicalweightloss.com,admin@406medicalweightloss.com,yes,ok,https://406medicalweightloss.com,vendor,GLP-1 weight loss peptides,3
"5900 Health, Centennial",5900health.com,yourhealth@5900health.com,yourhealth@5900health.com; patientservices@5900health.com,yes,ok,https://5900health.com,medspa,GLP-1 weight loss peptides,4
A Better You Primary Care,abetteryoupc.com,contact@abetteryoupc.com,contact@abetteryoupc.com,yes,ok,https://abetteryoupc.com/contact,medspa,GLP-1 weight loss peptides,3
Abundance Regenerative Health Clinic,abundancenp.com,barbara@abundancenp.com,barbara@abundancenp.com; abundancenp@gmail.com,yes,ok,https://abundancenp.com,medspa,"ipamorelin, pt-141, ghk-cu, oxytocin",9
"Angela D. Liddell, CRNA",acceleratemywellness.com,info@acceleratemywellness.com,info@acceleratemywellness.com,yes,ok,https://acceleratemywellness.com,medspa,GLP-1 weight loss peptides,7
Accumed Center,accumedcenter.com,info@accumedcenter.com,info@accumedcenter.com,yes,ok,https://accumedcenter.com,medspa,semaglutide,2
AD Precision Health Clinic,adprecisionhealth.com,info@adprecisionhealth.com,info@adprecisionhealth.com,yes,ok,https://adprecisionhealth.com,medspa,semaglutide,2
"Advanced Life Clinic, Huntsville",advancedlifeclinic.com,frontdesk@advancedlifeclinic.com,frontdesk@advancedlifeclinic.com,yes,ok,https://advancedlifeclinic.com,medspa,GLP-1 weight loss peptides,4
Ageless Forever,agelessforever.net,info@agelessforever.net,info@agelessforever.net,yes,ok,https://agelessforever.net,medspa,,4
AgeWell Medicine &amp; Aesthetics,agewellmedicine.com,info@agewellmedicine.com,info@agewellmedicine.com,yes,ok,https://agewellmedicine.com,medspa,"nad+, sermorelin",6
"Aglow Aesthetics, Huntington Beach",aglowhb.com,aglow@aglowhb.com,aglow@aglowhb.com,yes,ok,https://aglowhb.com,medspa,GLP-1 weight loss peptides,2
Alabama Medical Weight Loss + Wellness,alabamamedicalweightlossclinic.com,info@alabamamedicalweightlossclinic.com,info@alabamamedicalweightlossclinic.com,yes,ok,https://alabamamedicalweightlossclinic.com,medspa,"semaglutide, tirzepatide, nad+",7
Albert Plastic Surgery,albertplasticsurgery.com,frontdesk@albertplasticsurgery.com,frontdesk@albertplasticsurgery.com; u003efrontdesk@albertplasticsurgery.com,yes,ok,https://albertplasticsurgery.com,medspa,"semaglutide, tirzepatide",7
Alchemy 43 (Upper East Side),alchemy43.com,info@alchemy43.com,info@alchemy43.com; careers@alchemy43.com,yes,ok,https://alchemy43.com,medspa,"semaglutide, tirzepatide, nad+",9
Alpha Clinic of Florida,alphacliniconline.com,christina@alphacliniconline.com,christinafeliciano20@gmail.com; christina@alphacliniconline.com,yes,ok,https://alphacliniconline.com,medspa,semaglutide,1
"Ameri-Cal Weight Clinic, Fairfield",americalweightclinic.com,info@americalweightclinic.com,info@americalweightclinic.com,yes,ok,https://americalweightclinic.com,medspa,,1
AMS Wellness and IV,amswellnessandiv.com,info@amswellnessandiv.com,contact@amswellnessandiv.com; info@amswellnessandiv.com,yes,ok,https://amswellnessandiv.com,medspa,"semaglutide, tirzepatide, nad+, tesamorelin, pt-141, glutathione",12
"Aqua Body Lab, Lansing",aquabodylab.com,hello@aquabodylab.com,brian@aquabodylab.com; hello@aquabodylab.com,yes,ok,https://aquabodylab.com,medspa,GLP-1 weight loss peptides,7
Aquarian Clinic,aquarianclinic.com,info@aquarianclinic.com,info@aquarianclinic.com,yes,ok,https://aquarianclinic.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+, ipamorelin, tesamorelin",21
Arctic Medical Center &amp; Spa,arcticmedicalcenter.com,info@arcticmedicalcenter.com,info@arcticmedicalcenter.com,yes,ok,https://arcticmedicalcenter.com,medspa,GLP-1 weight loss peptides,7
"A Rejuvenated HealthCare, St. Petersburg",arejuvenatedhealthcare.com,arejuvenatedhealthcare@gmail.com,arejuvenatedhealthcare@gmail.com,yes,ok,https://arejuvenatedhealthcare.com,medspa,GLP-1 weight loss peptides,4
"Arts Attraction, St. Petersburg",artsofattraction.com,info@artsofattraction.com,info@artsofattraction.com,yes,ok,https://artsofattraction.com,medspa,"nad+, ghk-cu, glutathione",6
Aspira Plastic Surgery &amp; Med Spa,aspiraplasticsurgery.com,info@aspiraplasticsurgery.com,info@aspiraplasticsurgery.com,yes,ok,https://aspiraplasticsurgery.com,medspa,"semaglutide, tirzepatide",4
Aspire Medical Aesthetics,aspiremedaesthetics.com,info@aspiremedaesthetics.com,info@aspiremedaesthetics.com,yes,ok,https://aspiremedaesthetics.com,medspa,nad+,3
Atlantic Gastroenterology (Bay Pkwy),atgastro.com,info@atgastro.com,info@atgastro.com,yes,ok,https://atgastro.com,medspa,"semaglutide, tirzepatide, retatrutide",7
Atlanta Men&#x27;s Clinic,atlantamensclinic.com,contact@atlantamensclinic.com,contact@atlantamensclinic.com,yes,ok,https://atlantamensclinic.com,medspa,"semaglutide, tirzepatide, ipamorelin, cjc-1295, ghk-cu",13
Atlantic Men&#x27;s Clinic,atlanticmensclinic.com,contactcoralgables@atlanticmensclinic.com,contactcoralgables@atlanticmensclinic.com; contactplantation@atlanticmensclinic.com; contactbocaraton@atlanticmensclinic.com; contactpalmbeach@atlanticmensclinic.com; contacthollywood@atlanticmensclinic.com; contactfortmyers@atlanticmensclinic.com; contactnaples@atlanticmensclinic.com,yes,ok,https://atlanticmensclinic.com,medspa,GLP-1 weight loss peptides,2
Atlas Premier Health,atlaspremierhealth.com,contact@atlaspremierhealth.com,contact@atlaspremierhealth.com,yes,ok,https://atlaspremierhealth.com,medspa,pt-141,7
Attune Wellness Med Spa,attunemedspa.com,stamford@attunemedspa.com,stamford@attunemedspa.com; greenwich@attunemedspa.com; westport@attunemedspa.com,yes,ok,https://attunemedspa.com,medspa,"tirzepatide, nad+",4
Avellina Aesthetics,avellinaaesthetics.com,avellinaaesthetics@gmail.com,avellinaaesthetics@gmail.com,yes,ok,https://avellinaaesthetics.com,medspa,"semaglutide, tirzepatide",11
"Aviva Med Spa, Centennial",aviva-medical.com,admin@aviva-medical.com,admin@aviva-medical.com,yes,ok,https://aviva-medical.com,medspa,GLP-1 weight loss peptides,5
A Younger You Aesthetics,ayoungeryouohio.com,hello@ayoungeryouohio.com,hello@ayoungeryouohio.com,yes,ok,https://ayoungeryouohio.com,medspa,nad+,2
"WEESHOFF WELLNESS CENTER, Chandler",azwellnessdoc.com,info@azwellnessdoc.com,info@azwellnessdoc.com; weeshoffwellness@gmail.com,yes,ok,https://azwellnessdoc.com,medspa,"semaglutide, tirzepatide",5
Weight Loss Clinic Tulsa,baweightspa.com,info@baweightspa.com,info@baweightspa.com,yes,ok,https://baweightspa.com,medspa,semaglutide,8
"Bayside Med Spa, Norfolk",baysidemedspa.com,info@baysidemedspa.com,info@baysidemedspa.com,yes,ok,https://baysidemedspa.com,medspa,"semaglutide, tirzepatide",4
Divine Aesthetics and Wellness,bedivinecc.com,info@bedivinecc.com,info@bedivinecc.com,yes,ok,https://bedivinecc.com,medspa,nad+,8
Bel Angé Medical Spa,belangemedspa.com,info@belangemedspa.com,info@belangemedspa.com,yes,ok,https://belangemedspa.com,medspa,"semaglutide, nad+",8
"Bella Vida MedSpa, Temecula",bellavida-medspa.com,contact@bellavida-medspa.com,contact@bellavida-medspa.com,yes,ok,https://bellavida-medspa.com,medspa,GLP-1 weight loss peptides,3
"Best Weigh Weight Loss Center, Murfreesboro",bestweighweightloss.com,bestweigh1@yahoo.com,bestweigh1@yahoo.com,yes,ok,https://bestweighweightloss.com,medspa,semaglutide,2
"Better Beauty and Wellness, LLC",betterbeautyandwellness.com,betterbeautyandwellnessllc@gmail.com,betterbeautyandwellnessllc@gmail.com,yes,ok,https://betterbeautyandwellness.com,medspa,"semaglutide, tirzepatide",5
Be You Esthetic Suites,beyouestheticsuites.com,info@beyouestheticsuites.com,info@beyouestheticsuites.com,yes,ok,https://beyouestheticsuites.com,medspa,"glutathione, semaglutide",4
Be Youthful Aesthetics Weight Management,beyouthfulaesthetics.com,hello@beyouthfulaesthetics.com,hello@beyouthfulaesthetics.com,yes,ok,https://beyouthfulaesthetics.com,medspa,GLP-1 weight loss peptides,5
"BioFuse Wellness &#038; Peak Performance, Grand Rapids",biofuse.net,hello@biofuse.net,hello@biofuse.net,yes,ok,https://biofuse.net,medspa,"semaglutide, tirzepatide, thymosin alpha-1, nad+, ipamorelin, sermorelin",24
BionwoRx: Center for Functional and Regenerative Medicine,bionworx.com,hello@bionworx.com,hello@bionworx.com,yes,ok,https://bionworx.com,medspa,nad+,7
