vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
TwelveStone Infusion Center Mt. Juliet,12stonehealth.com,info@12stonehealth.com,chaplain@12stonehealth.com; info@12stonehealth.com,yes,ok,https://12stonehealth.com,medspa,,1
365 IV Wellness,365ivwellness.com,365ivwellness@gmail.com,365ivwellness@gmail.com,yes,ok,https://365ivwellness.com,medspa,"nad+, glutathione",3
IV Therapy Service Divi,518medspa.com,info@518medspa.com,info@518medspa.com; hello@518medspa.com,yes,ok,https://518medspa.com,medspa,"nad+, glutathione",7
About Face Wellness &amp; Medical Spa,aboutfacewellnessandmedicalspa.com,aboutfacecolumbia@gmail.com,aboutfacecolumbia@gmail.com,yes,ok,https://aboutfacewellnessandmedicalspa.com,medspa,"tirzepatide, nad+, glutathione",4
IV Hydration Lee&#x27;s Summit,accursoaesthetics.com,hello@accursoaesthetics.com,hello@accursoaesthetics.com; jim@accursoaesthetics.com; gina@accursoaesthetics.com,yes,ok,https://accursoaesthetics.com,medspa,"semaglutide, tirzepatide, sermorelin",9
ADARE,adarelife.com,hello@adarelife.com,hello@adarelife.com,yes,ok,https://adarelife.com,medspa,nad+,8
IV Hydration Therapy,addedtouchllc.com,anjee@addedtouchllc.com,llcaddedtouch@yahoo.com; anjee@addedtouchllc.com,yes,ok,https://addedtouchllc.com,medspa,,2
Adorn Medical Spa,adornmedspa.com,info@adornmedspa.com,info@adornmedspa.com; contact@adornmedspa.com; canton@adornmedspa.com,yes,ok,https://adornmedspa.com,medspa,semaglutide,2
IV Infusions,aevitamed.com,info@aevitamed.com,info@aevitamed.com,yes,ok,https://aevitamed.com,medspa,glutathione,3
AgeWell Aesthetics,agewellabq.com,kelly@agewellabq.com,kelly@agewellabq.com,yes,ok,https://agewellabq.com,medspa,,2
Alaska Alternative Medicine Clinic LLC,alaskaalternativemedicine.com,alaskaalternativemedicine@gmail.com,alaskaalternativemedicine@gmail.com,yes,ok,https://alaskaalternativemedicine.com,medspa,glutathione,3
AlmaMed Health Center,almamedhealthcenter.com,almamedhealthcenter@gmail.com,almamedhealthcenter@gmail.com,yes,ok,https://almamedhealthcenter.com,medspa,GLP-1 weight loss peptides,4
Advanced Moile IV,amiv.com,info@amiv.com,info@amiv.com,yes,ok,https://amiv.com,medspa,"retatrutide, cagrilintide, bpc-157, tb-500, thymosin beta-4, thymosin alpha-1",44
A New Creation Clinic and Medi-Spa,anewcreationclinicandmedispa.com,anewcreationclinicandmedispa@outlook.com,anewcreationclinicandmedispa@outlook.com,yes,ok,https://anewcreationclinicandmedispa.com,medspa,,2
IV Hydration Therapy,apclinic.net,info@apclinic.net,info@apclinic.net,yes,ok,https://apclinic.net,medspa,,4
Arizona IV Therapy Scottsdale,arizonaiv.com,info@arizonaiv.com,info@arizonaiv.com,yes,ok,https://arizonaiv.com,medspa,"nad+, glutathione",3
ASAP IVs,asapivs.com,taylor@asapivs.com,taylor@asapivs.com; minh@asapivs.com,yes,ok,https://asapivs.com,medspa,"nad+, glutathione",3
Revive MedSpa,ashleybrunoaesthetics.com,ashleybrunoaesthetics@gmail.com,ashleybrunoaesthetics@gmail.com,yes,ok,https://ashleybrunoaesthetics.com,medspa,"semaglutide, tirzepatide",3
"IV Therapy in West Chester Township, OH",assuredcareohio.com,info@assuredcareohio.com,info@assuredcareohio.com,yes,ok,https://assuredcareohio.com,medspa,,1
IV Therapy,auramedspa.org,info@auramedspa.org,info@auramedspa.org,yes,ok,https://auramedspa.org,medspa,GLP-1 weight loss peptides,4
