vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
Advanced Wellness and Pain,advancedwellnessandpain.com,info@advancedwellnessandpain.com,info@advancedwellnessandpain.com,yes,ok,https://advancedwellnessandpain.com,medspa,nad+,3
Ageless Rejuvenation Center,agelessjax.com,info@agelessjax.com,info@agelessjax.com,yes,ok,https://agelessjax.com,medspa,"semaglutide, tirzepatide",2
Apex Health & Wellness,apex-healthwellness.com,contact@apex-healthwellness.com,contact@apex-healthwellness.com,yes,ok,https://apex-healthwellness.com,medspa,"semaglutide, tirzepatide, nad+, pt-141",13
Aspire Rejuvenation,aspirerejuvenation.com,contact@aspirerejuvenation.com,contact@aspirerejuvenation.com,yes,ok,https://aspirerejuvenation.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+, ipamorelin, sermorelin",23
Beyond Human Wellness,beyond-human.com,info@beyond-human.com,info@beyond-human.com,yes,ok,https://beyond-human.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, pt-141, ghk-cu",14
Bliss MD,blissmedicines.com,anand@blissmedicines.com,anand@blissmedicines.com,yes,ok,https://blissmedicines.com,medspa,nad+,5
BluePath Longevity,bluepathlongevity.com,info@bluepathlongevity.com,info@bluepathlongevity.com,yes,ok,https://bluepathlongevity.com,medspa,"nad+, glutathione",5
Compass Human Performance,compasshp.com,contact@compasshp.com,contact@compasshp.com,yes,ok,https://compasshp.com,medspa,nad+,7
Executive Medicine of Texas,emtexas.com,contact@emtexas.com,contact@emtexas.com,yes,ok,https://emtexas.com,medspa,"ipamorelin, sermorelin",6
Fusion Healthy Aging,fusionhealthyaging.com,info@fusionhealthyaging.com,info@fusionhealthyaging.com,yes,ok,https://fusionhealthyaging.com,medspa,"semaglutide, bpc-157, ipamorelin, cjc-1295, glutathione, 5-amino-1mq",12
Geneva Med Spa,geneva-med.com,careteam@geneva-med.com,careteam@geneva-med.com,yes,ok,https://geneva-med.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, nad+, tesamorelin",19
Hebe Aesthetics & Vitality,hebeaestheticsandvitality.com,admin@hebeaestheticsandvitality.com,admin@hebeaestheticsandvitality.com,yes,ok,https://hebeaestheticsandvitality.com,medspa,"semaglutide, tirzepatide, tb-500, nad+, sermorelin, mots-c",15
Infinity Premier Health,infinitypremierhealth.com,admin@infinitypremierhealth.com,admin@infinitypremierhealth.com,yes,ok,https://infinitypremierhealth.com,medspa,"semaglutide, tirzepatide, nad+",10
Keystone Medical Wellness,keystonemedicalwellness.com,info@keystonemedicalwellness.com,info@keystonemedicalwellness.com,yes,ok,https://keystonemedicalwellness.com,medspa,nad+,6
Lifestyle Health Institute,lifestylehealth4u.com,lifestylehealthaz@gmail.com,lifestylehealthaz@gmail.com,yes,ok,https://lifestylehealth4u.com/contact,medspa,sermorelin,2
Lifestyle Mens Clinic,lifestylemensclinic.com,support@lifestylemensclinic.com,support@lifestylemensclinic.com,yes,ok,https://lifestylemensclinic.com,medspa,"semaglutide, bpc-157, thymosin beta-4, ipamorelin, cjc-1295, ghrp-6",21
Live In Vitality,liveinvitality.net,info@liveinvitality.net,info@liveinvitality.net,yes,ok,https://liveinvitality.net/contact,medspa,GLP-1 weight loss peptides,5
Medex Clinic,medexclinic.com,info@medexclinic.com,info@medexclinic.com,yes,ok,https://medexclinic.com,medspa,GLP-1 weight loss peptides,3
Modern Medicine AZ,modernmedicineaz.com,info@modernmedicineaz.com,info@modernmedicineaz.com,yes,ok,https://modernmedicineaz.com,medspa,semaglutide,7
Natural Rejuvenation Med Spa,naturalrejuvenationmedspa.com,info@naturalrejuvenationmedspa.com,info@naturalrejuvenationmedspa.com,yes,ok,https://naturalrejuvenationmedspa.com,medspa,GLP-1 weight loss peptides,4
Nourish House Calls,nourishhousecalls.com,info@nourishhousecalls.com,info@nourishhousecalls.com,yes,ok,https://nourishhousecalls.com,medspa,nad+,6
Northwest Face & Body,nwface.com,contactus@nwface.com,contactus@nwface.com,yes,ok,https://nwface.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, glutathione",10
Olympia Aesthetics and Wellness,olympiaaesthetics.com,olympia@olympiaaesthetics.com,olympia@olympiaaesthetics.com,yes,ok,https://olympiaaesthetics.com,medspa,"semaglutide, tirzepatide",15
OMNI LIFE Med,omnilifemed.com,info@omnilifemed.com,info@omnilifemed.com,yes,ok,https://omnilifemed.com,medspa,"semaglutide, tirzepatide, bpc-157, nad+, ipamorelin, glutathione",16
Optimal Health Miami,optimalhealthmiami.com,info@optimalhealthmiami.com,info@optimalhealthmiami.com,yes,ok,https://optimalhealthmiami.com,medspa,GLP-1 weight loss peptides,9
Opulence Chicago Med Spa,opulencechicago.com,info@opulencechicago.com,info@opulencechicago.com,yes,ok,https://opulencechicago.com,medspa,"nad+, ipamorelin, sermorelin, tesamorelin, ghk-cu",8
Priority You MD,priorityyoumd.com,info@priorityyoumd.com,info@priorityyoumd.com,yes,ok,https://priorityyoumd.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, thymosin alpha-1, nad+",31
Progressive Medical Center,progressivemedicalcenter.com,info@progressivemedicalcenter.com,info@progressivemedicalcenter.com,yes,ok,https://progressivemedicalcenter.com,medspa,nad+,8
Refine By Tulsi,refinebytulsi.com,contact@refinebytulsi.com,contact@refinebytulsi.com,yes,ok,https://refinebytulsi.com,medspa,nad+,6
Renew Bariatrics,renewbariatrics.com,info@renewbariatrics.com,doctors@renewbariatrics.com; info@renewbariatrics.com,yes,ok,https://renewbariatrics.com,medspa,GLP-1 weight loss peptides,2
Revamped Wellness,revampedwellness.net,revampedwellness1@gmail.com,revampedwellness1@gmail.com,yes,ok,https://revampedwellness.net,medspa,"semaglutide, tirzepatide, bpc-157, thymosin alpha-1",10
Revitalize IV Solutions,revitalizeivsolutions.com,revitalizeivsolutions@gmail.com,revitalizeivsolutions@gmail.com,yes,ok,https://revitalizeivsolutions.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, nad+, ipamorelin",34
Rofe Medical,rofemedical.com,support@rofemedical.com,support@rofemedical.com,yes,ok,https://rofemedical.com,medspa,GLP-1 weight loss peptides,8
Sage Wellness & Health,sagewellnessandhealth.com,info@sagewellnessandhealth.com,info@sagewellnessandhealth.com,yes,ok,https://sagewellnessandhealth.com,medspa,"bpc-157, tb-500, thymosin alpha-1, nad+, ipamorelin, tesamorelin",22
SCULPT Aesthetic Center,sculptcenter.com,info@sculptcenter.com,info@sculptcenter.com,yes,ok,https://sculptcenter.com,medspa,GLP-1 weight loss peptides,6
Serenity Rejuvenation Center,serenityrejuvenationcenter.com,info@serenityrejuvenationcenter.com,info@serenityrejuvenationcenter.com,yes,ok,https://serenityrejuvenationcenter.com,medspa,"semaglutide, tirzepatide",5
Simply Direct Medicine,simplydirectmedicine.com,simplydirectmedicine@gmail.com,simplydirectmedicine@gmail.com,yes,ok,https://simplydirectmedicine.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",12
Miami Stem Cell,stemcellmia.com,info@stemcellmia.com,gmurphy@stemcellmia.com; info@stemcellmia.com,yes,ok,https://stemcellmia.com,medspa,,3
Talon Wellness,talonwellness.com,info@talonwellness.com,info@talonwellness.com,yes,ok,https://talonwellness.com,medspa,"semaglutide, tirzepatide, sermorelin, glutathione, oxytocin",14
the biostation,thebiostation.com,bwell@thebiostation.com,bwell@thebiostation.com,yes,ok,https://thebiostation.com,medspa,"semaglutide, tirzepatide, retatrutide, nad+, sermorelin, tesamorelin",19
ThriveMD,thrivemd.com,info@thrivemd.com,info@thrivemd.com,yes,ok,https://thrivemd.com,medspa,"semaglutide, tirzepatide, bpc-157, thymosin beta-4, thymosin alpha-1, nad+",29
WholeHealth Chicago,wholehealthchicago.com,frontdesk@wholehealthchicago.com,frontdesk@wholehealthchicago.com; mtgw-frontdesk@wholehealthchicago.com; wh-frontdesk@wholehealthchicago.com,yes,ok,https://wholehealthchicago.com,medspa,GLP-1 weight loss peptides,4
Ageless Regenerative Medical,agelessregenerativemedical.com,,,,unreachable,,,,
AIOH,aiohfl.org,,,yes,no_email,https://aiohfl.org,medspa,"semaglutide, tirzepatide",9
Allure Esthetic,allureesthetic.com,,,yes,no_email,https://allureesthetic.com,medspa,"semaglutide, tirzepatide, liraglutide, nad+, sermorelin, glutathione",11
BODYWELLE,alonsomartinmd.com,,,yes,no_email,https://alonsomartinmd.com,medspa,"semaglutide, bpc-157, nad+, tesamorelin, cjc-1295",16
American Medical Wellness,americanmedicalwellness.com,,,yes,no_email,https://americanmedicalwellness.com,medspa,"nad+, ipamorelin, sermorelin, cjc-1295, pt-141",12
A Prestige Aesthetics & Wellness,aprestigeaesthetics.com,,,,no_email,,vendor,,0
Auri Aesthetics,auriaesthetics.com,,,,no_email,https://auriaesthetics.com,medspa,"semaglutide, nad+",8
Brandon Medical Center,brandonmedicalcenter.com,,,,no_email,,vendor,,0
Covalent Health,covalenthealth.org,,,,no_email,,vendor,,0
Manhattan Integrative Medicine,davidborensteinmd.com,,,yes,no_email,https://davidborensteinmd.com,medspa,"semaglutide, tirzepatide",6
Denver Peptide Clinic,denverpeptideclinic.com,,,,unreachable,,,,
Dr Pacholec Wellness,drpacholec.com,,,yes,no_email,https://drpacholec.com,medspa,"semaglutide, tirzepatide, bpc-157, sermorelin, ghk-cu",19
Dr Shel Wellness,drshel.com,,,yes,no_email,https://drshel.com,medspa,"semaglutide, tirzepatide, bpc-157, ipamorelin, sermorelin, cjc-1295",19
Eden Health Club,edenhealthclubs.com,,,yes,no_email,https://edenhealthclubs.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, nad+, ipamorelin",29
Elevate Wellness Clinic,elevateatl.com,,,,no_email,,vendor,,0
First Body Wellness Center,firstbodywellnesscenter.com,,,yes,no_email,https://firstbodywellnesscenter.com,medspa,GLP-1 weight loss peptides,3
Fit MD,fitmdusa.com,,,yes,no_email,https://fitmdusa.com,medspa,"semaglutide, tirzepatide, ipamorelin, sermorelin, pt-141, glutathione",17
Gentera Center,genteramed.com,,,yes,no_email,https://genteramed.com,vendor,,0
Gleam Medical Spa,gleammedspa.com,,,,no_email,,vendor,,0
Glowlight Med Spa,glowlightmedspa.com,,,,no_email,https://glowlightmedspa.com,medspa,"semaglutide, nad+, glutathione",6
GoBeyond Wellness Center,gobeyondaesthetics.com,,,,unreachable,,,,
Hartwater Wellness,hartwaterwellness.com,,,,no_email,https://hartwaterwellness.com,medspa,GLP-1 weight loss peptides,6
Haven Family Health,havenfamilyhealth.com,,,,no_email,,vendor,,0
HEALOR,healor.com,,,,no_email,,vendor,,0
Houston Concierge Medicine,houstonconciergemedicine.com,,,yes,no_email,https://houstonconciergemedicine.com,medspa,"semaglutide, tirzepatide, nad+, ipamorelin, cjc-1295",9
HTX Urology,htxurology.com,,,yes,no_email,https://htxurology.com,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, nad+, ipamorelin",21
Invigorate Advanced Aesthetics,invigorateaa.com,,,,no_email,,vendor,,0
Invigorate Health,invigoratehealthtn.com,,,yes,no_email,https://invigoratehealthtn.com,medspa,"nad+, glutathione",9
Khrom MedSpa,khrommedspaflorida.com,,,yes,no_email,https://khrommedspaflorida.com,medspa,"semaglutide, tirzepatide",11
