vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
360 MD Austin,360mdaustin.com,info@360mdaustin.com,info@360mdaustin.com,yes,ok,https://360mdaustin.com,medspa,"semaglutide, tirzepatide",5
BioLounge PDX,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Dr Erica Oberg,drericaoberg.com,manager@drericaoberg.com,manager@drericaoberg.com,yes,ok,https://drericaoberg.com,medspa,nad+,7
MACWellness,drlindseysnelson.com,drlindseysnelson@gmail.com,drlindseysnelson@gmail.com,yes,ok,https://drlindseysnelson.com,medspa,,1
GlowSpring Health,glowspringhealth.com,info@glowspringhealth.com,info@glowspringhealth.com,yes,ok,https://glowspringhealth.com,medspa,glutathione,6
House of Aesthetix,houseofaesthetix.com,info@houseofaesthetix.com,info@houseofaesthetix.com,yes,ok,https://houseofaesthetix.com,medspa,"semaglutide, tirzepatide, retatrutide, nad+, glutathione",11
Huebert Sport & Spine,huebertssc.com,ma@huebertssc.com,ma@huebertssc.com,yes,ok,https://huebertssc.com,medspa,"bpc-157, nad+, sermorelin, glutathione",6
MATTR Biowellness Club,mattrbiowellnessclub.com,info@mattrbiowellnessclub.com,info@mattrbiowellnessclub.com,yes,ok,https://mattrbiowellnessclub.com,medspa,,2
Eternal Vitality of Orlando,myeternalvitality.com,info@myeternalvitality.com,info@myeternalvitality.com,yes,ok,https://myeternalvitality.com,medspa,GLP-1 weight loss peptides,6
Nirvanix Health,nirvanixhealth.com,info@nirvanixhealth.com,info@nirvanixhealth.com,yes,ok,https://nirvanixhealth.com,medspa,nad+,2
Powell Studio,thepowellstudio.com,appointments@thepowellstudio.com,appointments@thepowellstudio.com,yes,ok,https://thepowellstudio.com/contact,medspa,,2
Thrive Aesthetic & Wellness,thriveportland.com,info@thriveportland.com,info@thriveportland.com,yes,ok,https://thriveportland.com,medspa,nad+,4
The Wellness Co,urwellness.co,clarity@urwellness.co,clarity@urwellness.co,yes,ok,https://urwellness.co,medspa,"bpc-157, tb-500, thymosin alpha-1, nad+, ipamorelin, sermorelin",21
4Ever Young,4everyoungantiaging.com,,,yes,no_email,https://4everyoungantiaging.com,medspa,"semaglutide, tirzepatide",7
Accelerate Wellness,acceleratewellness.com,,,,unreachable,,,,
Advanced Functional Medicine Austin,advancedfunctionalmedicineaustin.com,,,,no_email,,vendor,,0
Aesthetica Medical Spa,aestheticamedspasd.com,aestheticamedspasd@gmail.com,aestheticamedspasd@gmail.com,yes,already known,https://aestheticamedspasd.com,medspa,"bpc-157, sermorelin, epithalon, pt-141, ghk-cu, glutathione",9
Allure Verdure,allureverdure.com,,,,no_email,,vendor,,0
Anti Aging MD,antiagingmd360.com,,,,no_email,https://antiagingmd360.com,vendor,,1
Apres Plastic Surgery,apresplasticsurgery.com,,,yes,no_email,https://apresplasticsurgery.com,medspa,"semaglutide, tirzepatide",10
Austin Precision Medicine,austinprecisionmedicine.com,,,,no_email,https://austinprecisionmedicine.com,vendor,,0
