vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
2Beautiful Weight-Loss & Med Spa,2beautifulmedspa.com,2beautifulmedspa@gmail.com,2beautifulmedspa@gmail.com,yes,ok,https://2beautifulmedspa.com,medspa,"semaglutide, tirzepatide",4
"360 Health Integrated Medical Boutique, PLLC in Arlington, TX",360healthimb.com,tracynp@360healthimb.com,tracynp@360healthimb.com; general@360healthimb.com,yes,ok,https://360healthimb.com,medspa,,1
"Advanced Aesthetics & Wellness in Shenandoah, TX",aawtexas.com,aawbyrenata@gmail.com,aawbyrenata@gmail.com,yes,ok,https://aawtexas.com,medspa,semaglutide,3
Absolute Wellness & Beauty,absolutewellnessbeauty.com,absolutewellnessbeauty@gmail.com,absolutewellnessbeauty@gmail.com,yes,ok,https://absolutewellnessbeauty.com,medspa,"nad+, glutathione",3
"Addison Rose Aesthetics in Burlington, NC",addisonroseaesthetics.com,addisonroseaesthetics@gmail.com,addisonroseaesthetics@gmail.com,yes,ok,https://addisonroseaesthetics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",8
"Aesthetic Essentials of Augusta, LLC in Augusta, GA",aeaugusta.com,sarah@aeaugusta.com,sarah@aeaugusta.com; tammy@aeaugusta.com,yes,ok,https://aeaugusta.com,medspa,,3
Aesthetica Medspa and Wellness,aesthetica-medspa.com,aestheticamedspaandwellness@gmail.com,aestheticamedspaandwellness@gmail.com,yes,ok,https://aesthetica-medspa.com,medspa,"semaglutide, tirzepatide, retatrutide, nad+",6
Aesthetics & Medical Lasers of Colorado,aestheticsandmedicallasers.com,info@aestheticsandmedicallasers.com,info@aestheticsandmedicallasers.com,yes,ok,https://aestheticsandmedicallasers.com,medspa,GLP-1 weight loss peptides,3
Bloom Medical Aesthetics,aestheticsbybloom.com,info@aestheticsbybloom.com,info@aestheticsbybloom.com,yes,ok,https://aestheticsbybloom.com,medspa,,2
Aesthetics Lab,aestheticslabdetroit.com,hello@aestheticslabdetroit.com,hello@aestheticslabdetroit.com,yes,ok,https://aestheticslabdetroit.com,medspa,semaglutide,2
Aesthetics Medical Spa,aestheticsmedicalspa.com,aestheticsmedicalspa@gmail.com,aestheticsmedicalspa@gmail.com,yes,ok,https://aestheticsmedicalspa.com,medspa,"bpc-157, ipamorelin, tesamorelin",5
Ageless Aesthetics of Arkansas,agelessaestheticsar.com,info@agelessaestheticsar.com,info@agelessaestheticsar.com,yes,ok,https://agelessaestheticsar.com,medspa,GLP-1 weight loss peptides,3
Ageless Beauty Medspa,agelessbeautysa.com,info@agelessbeautysa.com,info@agelessbeautysa.com,yes,ok,https://agelessbeautysa.com,medspa,,1
"Ageless Medical Aesthetics in Worcester, MA",agelessinspired.com,agelessmedicalinfo@gmail.com,agelessmedicalinfo@gmail.com,yes,ok,https://agelessinspired.com,medspa,"semaglutide, nad+, sermorelin",9
Aisling Med Spa,aislingmedspa.com,info@aislingmedspa.com,info@aislingmedspa.com,yes,ok,https://aislingmedspa.com,medspa,"nad+, glutathione",3
AIVI Aesthetics,aiviaesthetics.com,info@aiviaesthetics.com,info@aiviaesthetics.com,yes,ok,https://aiviaesthetics.com,medspa,nad+,6
"Ajara Beauty in Los Angeles, CA",ajarabeauty.com,hello@ajarabeauty.com,hello@ajarabeauty.com,yes,ok,https://ajarabeauty.com,medspa,,1
À La Care MedSpa,alacaremedspa.com,info@alacaremedspa.com,infoalacare7@gmail.com; info@alacaremedspa.com; %20info@alacaremedspa.com,yes,ok,https://alacaremedspa.com,medspa,"semaglutide, glutathione",5
Alamo MD MedSpa,alamomdmedspa.net,alamomedspa@gmail.com,alamomedspa@gmail.com,yes,ok,https://alamomdmedspa.net,medspa,GLP-1 weight loss peptides,2
Alchemy Medical Aesthetics,alchemyslc.com,info@alchemyslc.com,info@alchemyslc.com,yes,ok,https://alchemyslc.com,medspa,"semaglutide, tirzepatide",4
Alea Aesthetics Medical Spa,aleamedspa.com,services@aleamedspa.com,services@aleamedspa.com,yes,ok,https://aleamedspa.com,medspa,glutathione,2
Alena Medspa Las Vegas by Alonso Medical Center,alenamedspa.com,info@alenamedspa.com,info@alenamedspa.com,yes,ok,https://alenamedspa.com,medspa,nad+,1
Align Wellness and Aesthetics,alignwellness.health,info@alignwellness.health,info@alignwellness.health,yes,ok,https://alignwellness.health,medspa,"semaglutide, tirzepatide, retatrutide, bpc-157, tb-500, nad+",19
"AliveDrip Ridgewood in Ridgewood, NJ",alivedripridgewood.com,ridgewoodiv@gmail.com,ridgewoodiv@gmail.com,yes,ok,https://alivedripridgewood.com,medspa,,1
All About You Wellness & Aesthetics,allaboutyouwellnessandaesthetics.com,info@allaboutyouwellnessandaesthetics.com,info@allaboutyouwellnessandaesthetics.com,yes,ok,https://allaboutyouwellnessandaesthetics.com,medspa,GLP-1 weight loss peptides,5
allora medspa,alloramedspatx.com,booking@alloramedspatx.com,alloramedspa1@gmail.com; booking@alloramedspatx.com,yes,ok,https://alloramedspatx.com,medspa,GLP-1 weight loss peptides,2
Allura Aesthetic,alluraesthetic.com,info@alluraesthetic.com,info@alluraesthetic.com,yes,ok,https://alluraesthetic.com,medspa,"semaglutide, tirzepatide, glutathione",6
ALMAge Wellness & MedSpa Miami,almagewellness.com,gigi@almagewellness.com,gigi@almagewellness.com,yes,ok,https://almagewellness.com,medspa,"semaglutide, tirzepatide, nad+",7
Aloha Aesthetics FL,alohaaestheticsfl.com,theteam@alohaaestheticsfl.com,theteam@alohaaestheticsfl.com,yes,ok,https://alohaaestheticsfl.com,medspa,GLP-1 weight loss peptides,3
Alyne Aesthetics & Med Spa,alyneaesthetics.com,info@alyneaesthetics.com,info@alyneaesthetics.com,yes,ok,https://alyneaesthetics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",7
Amani Med Spa,amanimedspa.com,hi@amanimedspa.com,hi@amanimedspa.com,yes,ok,https://amanimedspa.com,medspa,GLP-1 weight loss peptides,3
Amici MedSpa,amicimedspa.com,admin@amicimedspa.com,admin@amicimedspa.com,yes,ok,https://amicimedspa.com,medspa,semaglutide,1
Ananya Aesthetics,ananyaaesthetics.com,info@ananyaaesthetics.com,info@ananyaaesthetics.com; hello@ananyaaesthetics.com,yes,ok,https://ananyaaesthetics.com,medspa,glutathione,5
Anastasis Health,anastasishealth.com,info@anastasishealth.com,sujay.kumar@anastasishealth.com; amywildmon84@yahoo.com; rachel.mcarthur@anastasishealth.com; info@anastasishealth.com; dave.markowicz@anastasishealth.com,yes,ok,https://anastasishealth.com,medspa,GLP-1 weight loss peptides,5
"AnatomicL Medical Aesthetics in Cherry Hill Township, NJ",anatomicl.com,info@anatomicl.com,info@anatomicl.com,yes,ok,https://anatomicl.com,medspa,"tirzepatide, retatrutide, bpc-157, tb-500, thymosin beta-4, thymosin alpha-1",16
Anew You Medspa,anewyougi.com,anewyou716@gmail.com,anewyou716@gmail.com; %20anewyou716@gmail.com,yes,ok,https://anewyougi.com,medspa,GLP-1 weight loss peptides,8
Angileé Med Spa,angileemedspa.com,angileemedspa@gmail.com,angileemedspa@gmail.com,yes,ok,https://angileemedspa.com,medspa,"semaglutide, tirzepatide, nad+",8
"AnthroMedical Center in Omaha, NE",anthromedicalcenter.com,support@anthromedicalcenter.com,support@anthromedicalcenter.com,yes,ok,https://anthromedicalcenter.com,medspa,,2
"AquafyIV in Longmont, CO",aquafyiv.com,sales@aquafyiv.com,sales@aquafyiv.com,yes,ok,https://aquafyiv.com,medspa,nad+,3
