vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
Abloom Med Spa,abloommedicalspa.com,abloommedspa.marketing@gmail.com,abloommedspa.marketing@gmail.com,yes,ok,https://abloommedicalspa.com,medspa,,1
Advanced Skin Shop,advancedskinshop.com,roman.choknadiy@gmail.com,roman.choknadiy@gmail.com,yes,ok,https://advancedskinshop.com,medspa,"semaglutide, tirzepatide",2
Advanced Care & Medspa,advcaremedspa.net,info@advcaremedspa.net,info@advcaremedspa.net,yes,ok,https://advcaremedspa.net,medspa,GLP-1 weight loss peptides,3
Protege Agewell Spa,aestheticbeautybyserena.com,aestheticbeautybyserena@gmail.com,aestheticbeautybyserena@gmail.com,yes,ok,https://aestheticbeautybyserena.com,medspa,GLP-1 weight loss peptides,2
Aesthetic Beauty RI,aestheticbeautyri.com,aestheticbeautyri@gmail.com,aestheticbeautyri@gmail.com,yes,ok,https://aestheticbeautyri.com,medspa,,1
Aging with Grace,agingwith-grace.com,amy@agingwith-grace.com,agingwith-grace@outlook.com; amy@agingwith-grace.com,yes,ok,https://agingwith-grace.com,medspa,semaglutide,2
Allante Life Med Spa,allantelife.com,info@allantelife.com,info@allantelife.com,yes,ok,https://allantelife.com,medspa,nad+,4
Amber Laine Med Spa + Salon,amberlainemedspa.com,racheltosie@yahoo.com,racheltosie@yahoo.com,yes,ok,https://amberlainemedspa.com,medspa,semaglutide,5
Amenities Wellness,amenitieswellnessspa.com,contact@amenitieswellnessspa.com,contact@amenitieswellnessspa.com,yes,ok,https://amenitieswellnessspa.com,medspa,GLP-1 weight loss peptides,3
"Artavi Med Spa- Dr. Tarina Desai, MD",artavimedspa.com,info@artavimedspa.com,info@artavimedspa.com,yes,ok,https://artavimedspa.com,medspa,,1
"AW Plastic Surgery: Anthony J. Wilson, MD",awplasticsurgery.com,info@awplasticsurgery.com,info@awplasticsurgery.com,yes,ok,https://awplasticsurgery.com,medspa,,1
Ballard Wellness & Aesthetics,ballard-wellness.com,amber@ballard-wellness.com,amber@ballard-wellness.com,yes,ok,https://ballard-wellness.com,medspa,GLP-1 weight loss peptides,4
Bare Skin Medical Spa,bareskinmedspa.com,office@bareskinmedspa.com,office@bareskinmedspa.com,yes,ok,https://bareskinmedspa.com,medspa,"semaglutide, tirzepatide",5
"Beauty By Reanne, PA-C BBR MED SPA",bbrmed.com,frontdesk@bbrmed.com,frontdesk@bbrmed.com,yes,ok,https://bbrmed.com,medspa,glutathione,1
Belaé Aesthetics,belaeaesthetics.com,belaemedspa@gmail.com,belaemedspa@gmail.com,yes,ok,https://belaeaesthetics.com,medspa,,1
Belle Vie Beauty + Wellness,belleviebw.com,misty@bellevie-bw.com,misty@bellevie-bw.com,yes,ok,https://belleviebw.com,medspa,,2
Bellissima Medical Spa,bellissimamedspa.com,victoria@bellissimamedspa.com,victoria@bellissimamedspa.com,yes,ok,https://bellissimamedspa.com,medspa,,1
Benway Beauty,benwaybeauty.com,info@benwaybeauty.com,info@benwaybeauty.com,yes,ok,https://benwaybeauty.com,medspa,GLP-1 weight loss peptides,4
Prime MedSpa PDX,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Bloom Med-Aesthetics Studio,bloommedaestheticsstudio.glossgenius.com,janniesuratos@gmail.com,janniesuratos@gmail.com,yes,ok,https://bloommedaestheticsstudio.glossgenius.com,medspa,,1
