vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
IV Therapy,aarogyamedicine.com,kathy@aarogyamedicine.com,kathy@aarogyamedicine.com,yes,ok,https://aarogyamedicine.com,medspa,GLP-1 weight loss peptides,4
Advanced Hormone Solutions,advancedhormonesolutions.net,advancedhormonesolution@gmail.com,advancedhormonesolution@gmail.com,yes,ok,https://advancedhormonesolutions.net,medspa,,1
All Ages Endocrinology and Hormone Clinic,allagesendo.com,balliu@allagesendo.com,balliu@allagesendo.com,yes,ok,https://allagesendo.com,medspa,GLP-1 weight loss peptides,4
"Eureka Hydration Center in Eureka Springs, AR",eurekahydrationcenter.com,eurekahydrationcenter@gmail.com,eurekahydrationcenter@gmail.com,yes,ok,https://eurekahydrationcenter.com/about,medspa,GLP-1 weight loss peptides,3
Flo & Glo IV Wellness Lounge (Gulf Shores),flongloivgulfshores.com,info@flongloivgulfshores.com,info@flongloivgulfshores.com,yes,ok,https://flongloivgulfshores.com/about,medspa,,1
"IV Drip Dynamics in Columbia, MD",ivdripdynamics.com,info@ivdripdynamics.com,info@ivdripdynamics.com,yes,ok,https://ivdripdynamics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",8
KRx Complete Wellness,krxcompletewellness.com,admin@krxcompletewellness.com,admin@krxcompletewellness.com,yes,ok,https://krxcompletewellness.com,medspa,GLP-1 weight loss peptides,5
"Revive Drip in Gig Harbor, WA",mobilerevivedrip.com,contactus@mobilerevivedrip.com,contactus@mobilerevivedrip.com,yes,ok,https://mobilerevivedrip.com,medspa,nad+,3
"Omorfia Medical Spa in Dearborn, MI",omorfiamedicalspa.com,omorfiamedicalspa@gmail.com,omorfiamedicalspa@gmail.com,yes,ok,https://omorfiamedicalspa.com,medspa,,1
bioEDGE Longevity,orlandopainsolutions.com,pain-solutions@hotmail.com,pain-solutions@hotmail.com,yes,ok,https://orlandopainsolutions.com,medspa,,1
South Lake Med Spa,southlakemedspatahoe.com,info@southlakemedspatahoe.com,info@southlakemedspatahoe.com,yes,ok,https://southlakemedspatahoe.com,medspa,GLP-1 weight loss peptides,5
Vantage Men,vantagemen.com,info@vantagemen.com,info@vantagemen.com,yes,ok,https://vantagemen.com/about,vendor,semaglutide,1
Wildwood Men's Health,wildwoodmenshealth.com,wildwoodmenshealth@gmail.com,wildwoodmenshealth@gmail.com,yes,ok,https://wildwoodmenshealth.com,medspa,,3
Winked Medspa,winkedmedspa.com,contact@winkedmedspa.com,contact@winkedmedspa.com,yes,ok,https://winkedmedspa.com,medspa,,1
Gilded Aesthetics,008e3f79a375212dd23c-340b3304e99816d7df0bb14de0df8acc.ssl.cf2.rackcdn.com,,,,unreachable,,,,
Vital Flow Hydration & Wellness Winfield,020684edbbf5c630ea89-665e6c47c7d8a33155a2da66825008eb.ssl.cf2.rackcdn.com,,,,unreachable,,,,
Health Haven Hawaii,088ed8aaad4de8f1f57b-843c4ffbd2d00e5f3e181d11dec9011a.ssl.cf2.rackcdn.com,,,,unreachable,,,,
Zen Flow Hydration,3fb441e69fdae13aa77a-99c88f5630563d040782614d53f4a977.ssl.cf2.rackcdn.com,,,,unreachable,,,,
Infusewell IV Therapy,424ivforme.com,,,,unreachable,,,,
The IV Team,4d13ea5d26576de495ff-e4cdf80504feb829a3816048c59870d1.ssl.cf2.rackcdn.com,,,,unreachable,,,,
4Ever Health Michigan,4everhealth.org,,,,unreachable,,,,
Mobile IV Therapy in Arizona,71a54871065e134b5e46-8c522651ce6c574468cb53ac3968af6f.ssl.cf2.rackcdn.com,,,,unreachable,,,,
"It's the Drip IV Hydration and Wellness: Weight Loss, TRT",93c7b8c942814e3d9f5c-5ec1bcd66f0bc0dfdc262ba781df14e9.ssl.cf2.rackcdn.com,,,,unreachable,,,,
Cape May Aesthetics & Wellness,a.mktgcdn.com,,,,unreachable,,,,
Modern Age Upper East Side,a.storyblok.com,,,,unreachable,,,,
"IV Therapy, Wellness & Testosterone",a2a07a6091f0cbe6fe04-15c0d7ea1e9349fd1cc28ac2f1c1f214.ssl.cf2.rackcdn.com,,,,unreachable,,,,
ABQ Skin Care & Acne Clinic,abqacneclinic.com,,,yes,no_email,https://abqacneclinic.com,medspa,,0
Absolute Hormone,absolutehormone.com,absolutehormone@gmail.com,absolutehormone@gmail.com,yes,already known,https://absolutehormone.com,medspa,"semaglutide, ipamorelin, sermorelin, tesamorelin, cjc-1295, mots-c",16
Abundant Life Health Care,abundantlifehealthcare.com,,,,unreachable,,,,
ApproXie Urgent Care Huntsville,access.approxie.com,,,,unreachable,,,,
"Activate IV and Cryotherapy in Las Vegas, NV",activatelvwellness.com,,,,unreachable,,,,
Advanced Skin,advancedskincarenh.com,,,,unreachable,,,,
Alter Ego Aesthetics,advancemedfargo.com,,,,no_email,,vendor,,0
The Aesthetic Atelier,aestheticateliersd.com,,,,unreachable,,,,
Aesthetic Day Spa Beauty Salon Columbia SC,aestheticdayspa.com,,,,unreachable,,,,
Aesthetic Med Spa,aestheticmedspa.us,,,,unreachable,,,,
The Aesthetic Center by Medical Associates Reviews & Pricing,aestheticsbyma.com,,,yes,no_email,https://aestheticsbyma.com,medspa,,0
The Aesthetic Lounge LLC,aestheticsloungesacramento.com,,,,unreachable,,,,
Aesthetics Medspa Reviews & Pricing,aestheticsmedspa.com,,,,unreachable,,,,
Aesthetic Surgical Arts,aestheticsurgicalarts.com,,,,unreachable,,,,
"Aftrglo Medical Aesthetics, Med Spa Hernando",aftrglohernando.com,,,,unreachable,,,,
Ageless Male Testosterone Clinic,agelessmaletrt.com,,,,unreachable,,,,
Core IV Therapy,agelessmenshealth.com,,,,unreachable,,,,
A Glow By Laura,aglowbylaura.com,,,,unreachable,,,,
AIMA Functional Medicine (AIMA of Nashua PLLC),aimaofnashua.com,reception@aimaofnashua.com,reception@aimaofnashua.com,yes,no_peptides,https://aimaofnashua.com,medspa,,0
Upgrades by Ashlee,ajkpt.myaestheticrecord.com,,,,no_email,https://ajkpt.myaestheticrecord.com,vendor,,0
