vendor,domain,email,status,audience,peptides,source
LaserAway,laseraway.net,contact@laseraway.net,ok,vendor,,b6a14c7b-medspa_instagram_top.md
NAKEDMD Med Spa,nakedmd.com,concierge@nakedmd.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Laundry,skinlaundry.com,inquiries@skinlaundry.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
SEV Laser,sevlaser.com,info@sevlaser.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Pharm,skinpharm.com,hello@skinpharm.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Boston Beautox,bostonbeautox.com,info@bostonbeautox.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
BeautyFix,beautyfixmedspa.com,customerservice@beautyfixmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
SkinSpirit,skinspirit.com,info@skinspirit.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Medilight,medilight.us,medilightusa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
LUXMODE,theluxmode.com,info@theluxmode.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Charette Cosmetics Medical Spa,charettecosmetics.com,customerservice@charettecosmetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
OVME,ovme.com,info@ovme.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Fresh Faces RX,freshfacesrx.com,jodee@freshfacesrx.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Perfect Medical,skinperfectmedical.com,glendora@skinperfectmedical.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Le Jolie Spa,lejoliespa.com,weho@lejoliespa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Peachy,peachystudio.com,hello@peachystudio.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
It's a Secret Med Spa,secretmedspa.com,clientcare@secretmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beverly Hills Rejuvenation Center,bhrcenter.com,info@bhrcenter.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Amoderm,amoderm.com,info@amoderm.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Alchemy 43,alchemy43.com,info@alchemy43.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
JECT,jectnyc.com,info@jectnyc.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Hochstein Medspa,lhochsteinmedspa.com,info@lhochsteinmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Cosmetic Laser Dermatology,clderm.com,info@clderm.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Viva Day Spa,vivadayspa.com,suzanne@vivadayspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Tribeca MedSpa,tribecamedspa.com,info@tribecamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beaux Medspa,beauxmedspa.com,kristin@beauxmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
DermFx,dermfx.com,consultations@dermfx.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Metropolis Dermatology,metropolisderm.com,concierge@metropolisderm.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
AYA Medical Spa,ayamedspa.com,aya@ayamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Motyki Med Spa,motykiemedspa.com,weho@motykiemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beyond Beauty Medical Spa,bbspamed.com,info@bbspamed.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Perfect Med Spa,perfect57.com,info@perfect57.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
VIO Med Spa,viomedspa.com,info@viomedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Slate Medspa,slatemedspa.com,hello@slatemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Smooth Synergy Med Spa,smoothsynergy.com,info@smoothsynergy.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
South Coast MedSpa,southcoastmedspa.com,info@southcoastmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Avalon Laser,avalon-laser.com,info@avalon-laser.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Seaport Medspa,seaportmedspa.com,hello@seaportmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Spa Sway,spasway.com,hello@spasway.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Bella MedSpa Atlanta,bellamedspaatl.com,bella@bellamedspaatl.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Chin Up! Aesthetics,chinupaesthetics.com,info@chinupaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Med Aesthetics Miami,medaestheticsmiami.com,info@medaestheticsmiami.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Aesthetica Medical Spa,aesthetica.com,info@aesthetica.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Alani Skin MD,alaniskinmd.com,scottsdale@alaniskinmd.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Ellemes Medical Spa,ellemesmedspa.com,info@ellemesmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Parfaire Aesthetics,parfaire.com,reception@parfaire.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Vega Vitality MedSpa,vegavitality.com,info@vegavitality.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
VIO Med Spa Paramus,viomedspa.com,paramus@viomedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Trifecta Med Spa,trifectamedgroup.com,ilya@trifectamedgroup.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Chic La Vie Med Spa,chiclavie.com,info@chiclavie.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Ivy En Rose Medical Spa,ivyenrose.com,info@ivyenrose.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beauty Factory Med Spa,beautyfactorymedspa.com,info@beautyfactorymedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Rowlett Med Spa,skinessentialsdfw.com,skinessentialsdfw@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Kultur Med Spa,kulturmedspa.skin,info@kulturmedspa.skin,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Derm Artisan,dermartisan.com,info@dermartisan.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Blue Divine Aesthetics,bluedivine.com,contact@bluedivine.com,ok,medspa,GLP-1 weight loss peptides,b6a14c7b-medspa_instagram_top.md
Boston Medical Aesthetics,bostonmedicalaesthetics.net,info@bostonmedicalaesthetics.net,ok,vendor,,b6a14c7b-medspa_instagram_top.md
4Ever Young Philadelphia,4everyoungcentercityphilly.com,info@4everyoungcentercityphilly.com,ok,medspa,GLP-1 weight loss peptides,b6a14c7b-medspa_instagram_top.md
Banyan and Bamboo,banyanandbamboo.com,info@banyanandbamboo.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
MedBeautyLA,medbeautyla.com,info@medbeautyla.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skinovatio,skinovatio.com,support@skinovatio.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Georgetown Allure Medical Spa,georgetownallure.com,info@georgetownallure.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Sanjiva Med Spa,sanjivamedspa.com,hello@sanjivamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Allura Medical Esthetics,alluramedesthetics.com,info@alluramedesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Azia Medical Spa,aziamedispa.com,theaziaexperience@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Bijoux Med Spa,bijouxmedspa.com,info@bijouxmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
