domain,rating,reviews,directory,listing_url
008e3f79a375212dd23c-340b3304e99816d7df0bb14de0df8acc.ssl.cf2.rackcdn.com,5.0,54,theivdirectory,https://theivdirectory.com/provider/gilded-aesthetics-boise
020684edbbf5c630ea89-665e6c47c7d8a33155a2da66825008eb.ssl.cf2.rackcdn.com,5.0,1,theivdirectory,https://theivdirectory.com/provider/vital-flow-hydration-wellness-winfield-winfield
088ed8aaad4de8f1f57b-843c4ffbd2d00e5f3e181d11dec9011a.ssl.cf2.rackcdn.com,5.0,13,theivdirectory,https://theivdirectory.com/provider/health-haven-hawaii-aiea
10skyn.com,4.9,206,medspanear,https://medspanear.me/maryland/baltimore/lux10skyn-baltimore/
12stonehealth.com,5.0,212,theivdirectory,https://theivdirectory.com/provider/twelvestone-infusion-center-memphis-germantown-germantown
17medspa.com,4.9,219,auravenu,https://auravenu.com/listings/medical-spa-buena-park-17medspa/
180painreliefcenters.com,5.0,23,theivdirectory,https://theivdirectory.com/provider/fort-worth-health-alliance-fort-worth
1hotels.com,4.7,32,medspanear,https://medspanear.me/tennessee/nashville/bamford-wellness-spa-nashville/
201aesthetics.com,5.0,28,medspanear,https://medspanear.me/north-dakota/jamestown/201-aesthetics-jamestown/
207laser.com,4.6,10,medspanear,https://medspanear.me/maine/kennebunk/207-laser-integrative-med-kennebunk/
207wellness.org,5.0,77,medspanear,https://medspanear.me/maine/veazie/207-wellness-veazie/
220eyecandy.com,5.0,3,medspanear,https://medspanear.me/missouri/st-louis/220-eye-candy-beauty-bar-st-louis/
22hormones.com,5.0,141,trtguide,https://trtguide.com/clinics/22-health-hormone-ChIJF6uOcJJx54gRo_Y0WxJ7GO8
25again.com,4.5,11,trtguide,https://trtguide.com/clinics/25-again-cincinnati-ChIJge9F8p9WQIgRwu8qD4S01Ow
2beautifulmedspa.com,5.0,16,medspanear,https://medspanear.me/north-carolina/claremont/2beautiful-weight-loss-med-spa-claremont/
2rejuv.com,5.0,2,trtguide,https://trtguide.com/clinics/2rejuv-ChIJ6-w3orDFwogRApvu4ads0Js
3-peatwellnessllc.org,5.0,54,trtguide,https://trtguide.com/clinics/3-peat-wellness-weight-loss-management-aesthetics-men-s-hormone-replacement-therapy-ChIJ8XBUYZSD0ocRzumFh9Ku5SQ
305euphoria.com,4.8,298,auravenu,https://auravenu.com/listings/euphoria-aesthetics/
307bodyandsoul.com,5.0,47,medspanear,https://medspanear.me/wyoming/sheridan/body-and-soul-wellness-sheridan/
307nas.com,5.0,4,medspanear,https://medspanear.me/wyoming/casper/nked-aesthetics-studio-casper/
360healthimb.com,4.9,55,ivhealthclinics,https://ivhealthclinics.com/clinics/360-health-integrated-medical-boutique-pllc-arlington-tx
360medspas.com,5.0,28,medspanear,https://medspanear.me/iowa/ankeny/360-medspas-ankeny/
360wellnessmedspa.com,5.0,209,medspanear,https://medspanear.me/michigan/grand-rapids/360-wellness-med-spa-grand-rapids/
365ivdrips.com,5.0,48,ivhealthclinics,https://ivhealthclinics.com/clinics/365-iv-drips-edgewater-nj
3bsbeautyspa.square.site,5.0,10,medspanear,https://medspanear.me/oregon/eugene/3bs-beauty-eugene/
3degreeshudson.com,4.9,92,medspanear,https://medspanear.me/new-hampshire/hudson/shear-class-hair-salon-hudson/
3dmedicalaesthetics.com,4.8,49,theivdirectory,https://theivdirectory.com/provider/3d-medical-aesthetics-quincy
3rmedspa.com,5.0,1,medspanear,https://medspanear.me/florida/miami/3rmedspa-miami/
406aesthetica.com,5.0,94,auravenu,https://auravenu.com/listings/aesthetica-medical-spa-kalispell/
406massagebozeman.com,4.9,87,medspanear,https://medspanear.me/montana/bozeman/406-massage-bozeman/
406medspa.com,4.8,134,medspanear,https://medspanear.me/montana/great-falls/allure-aesthetics-great-falls/
444ivwellness.com,4.8,38,theivdirectory,https://theivdirectory.com/provider/444iv-wellness-lounge-view-park-windsor-hills
4beautymedspa.com,4.9,276,medspanear,https://medspanear.me/florida/miami/4beauty-medspa-miami/
4brightersmiles.com,4.8,446,medspanear,https://medspanear.me/oregon/eugene/brighter-smiles-med-spa-and-laser-center-eugene/
4estheticslounge.com,4.9,111,medspanear,https://medspanear.me/kentucky/lexington/4esthetics-lounge-lexington/
4everhealth.org,4.8,26,trtguide,https://trtguide.com/clinics/4ever-health-michigan-ChIJ78gZLfvVJIgR_9SGKJulngA
4everyoungantiaging.com,5.0,328,medspanear,https://medspanear.me/south-carolina/mt-pleasant/4ever-young-med-spa-wellness-center-mt-pleasant-mt-pleasant/
4everyoungstl.com,4.9,89,medspanear,https://medspanear.me/missouri/st-louis/4ever-young-stl-medspa-st-louis/
4everyskin.com,5.0,16,medspanear,https://medspanear.me/nebraska/omaha/4everyskin-esthetics-omaha/
4greatskin.com,5.0,26,medspanear,https://medspanear.me/michigan/sterling-heights/great-skin-wellness-sterling-heights/
515wellness.com,5.0,86,ivhealthclinics,https://ivhealthclinics.com/clinics/five-one-five-wellness-and-aesthetics-grimes-ia
518medspa.com,5.0,16,trtguide,https://trtguide.com/clinics/518-medspa-ChIJObt4cRl13okRAj3PmE94DLE
5elementsnaturalcare.com,5.0,1,medspanear,https://medspanear.me/new-jersey/woodbridge/meraki-aesthetics-nj-woodbridge/
5esalon.com,4.7,296,medspanear,https://medspanear.me/kentucky/louisville/5-elements-salon-and-spa-louisville/
61five.com,5.0,1174,medspanear,https://medspanear.me/tennessee/nashville/61five-health-wellness-nashville/
716ology.com,4.9,83,trtguide,https://trtguide.com/clinics/716-integrative-wellness-ChIJuSzzJtEH04kRKUmyf2Y2kDA
716synergy.com,4.9,37,ivhealthclinics,https://ivhealthclinics.com/clinics/synergy-nutrition-wellness-williamsville-dr-joe-williamsville-ny
719-revivemedspa.com,4.9,175,theivdirectory,https://theivdirectory.com/provider/719-revive-med-spa-colorado-springs
7seasmedspa.com,4.9,333,medspanear,https://medspanear.me/georgia/augusta/7-seas-medical-spa-augusta/
800thin.com,5.0,223,hormonemap,https://hormonemap.com/clinics/dr-syverain-san-jose-weight-loss-clinic
816medspa.com,5.0,14,medspanear,https://medspanear.me/missouri/kansas-city/816-aesthetic-med-spa-kansas-city/
