# name	country	resolved domain -- written by resolve_vendors.py
10 Bottle Value	Latvia	10bottlevalue.co
ADVBioLabs	Australia	advbiolabs.com.au
AMC Essentials	United States	amc-essentials.com
Accelerate Labs	United States	accelerate-labs.us
Alpha Omega Peptide	United States	alphaomegapeptide.com
Alpha-Gen	United States	alphagen.store
Amino Amigos	United States	aminoamigos.com
Amino Asylum	United States	amino-asylum.net
Amino Club	United States	aminoclub.com
Amino Pure Canada	Canada	aminopurecanada.ca
AminoVault	United States	aminovault.com
Aminologix	United States	aminologix.com
Anglo Peptides	United Kingdom	anglopeptides.com
Ascend Peptides	United States	ascendpeptidesuk.com
Ascension Peptides	United States	ascensionpeptides.com
Astro Peptides	United States	astropeptidesusa.com
Atomik Labs	United States	atomiklabzpeptidesstore.com
Atomik Labz	United States	atomiklabz.com
Behemoth Labz	United States	behemothlabz.com
BeiBangAn	United States	beibanganpeptides.com
BioEdge Research Labs	United States	bioedgeresearchlabs.com
BioGenix Peptides	United States	biogenixpeptides.com
Biocollex Research	United States	biocollexresearch.com
Biolongevity Labs	United States	biolongevitylabs.com
Bioplex Peptides	United Kingdom	bioplexpeptides.co.uk
Biotech Peptides	United States	biotechpeptides.com
Blackline Scientific	United States	blacklinescientific.com
Blank Peptides	United States	blankpeptides.com
Blue Sky Peptide	United States	blueskypeptide.com
Bluewell Peptides	United Kingdom	bluewellpeptides.com
Bondi Peptides	Australia	peptides806.com
Boss Peptides	United States	bosspeptide.com
Bulk Peptide Supply	United States	bulkpeptidesupply.com
Bulk Peptide Wholesale	United States	bulkpeptidewholesale.com
Bulk Research Supply	United States	bulkresearchsupply.co
C2Peptides	United States	c2peptides.com
Chameleon Peptides	United States	chameleonpeptides.com
Chemyo	United States	chemyo.com
Core Labs AU	Australia	corelabsau.com
Core Peptides	United States	corepeptides.com
Corix Research Labs UK Limited	United Kingdom	corixlabs.co.uk
Crush Research	United States	crushresearch.shop
Deuschem	United States	deuschem.com
Direct Peptides	United States	directpeptides.com
Disguised Alpha	United States	disguisedalpha.com
Double R Labs	United States	doublerlabs.is
Dr Peptides	United Kingdom	drpeptides.ltd
EZ Peptides	United States	ezpeptides.com
Element SARMS	United States	elementsarms.com
Elite Biogenix	United States	elitebiogenix.com
Elite Research	United States	eliteresearchlab.com
Elite Research USA	United States	eliteresearchusa.com
Eros Peptides	United States	erospeptides.com
Eternal Peptides	United States	eternalpeptides.com
EuroPeptides	Germany	europeptides.de
Evolve BioPep	United States	evolvebiopep.com
Forever Young Pharmacy	United States	foreveryoungpharmacy.com
Forge Performance Co.	United States	forgeperformanceco.com
Fusion Peptide	United States	fusionpeptide.com
GenScript	United States	genscript.com
GetMyPepti	United States	getmypepti.com
Glacier Aminos	United States	glacieraminos.shop
Glow Aminos	United States	glowaminos.com
Golden Eagle	United States	goldeneagledistributors.com
Good Science	United States	goodsciencebio.com
Grey Axis Research	United States	gxresearch.shop
Helixora Peptides	United States	helixorapeptides.com
HkRoids	United States	hkroids.com
Honest Peptide	United States	honestpeptide.com
Hybiopeptides	United States	hybiopeptides.com
Hydro Research Peptides	United States	hydroresearchpeptides.com
Ignite Peptides	United States	ignitepeptides.com
Iluma Peptide Co	United States	iluma-peptide.vercel.app
Imperial Peptides UK	United Kingdom	peptides187.com
Injectify	United States	injectify.is
Injection Shop	United States	injectionshop.com
Ion Peptide	United States	ionpeptide.com
Iron Labs	United States	ironlabs.shop
Iron Within	United States	ironwithin.io
Kalyx Labs	United States	kalyx-labs.com
Kimera Chems	United States	kimerachems.co
Lab Rats	United States	labratslabs.com
