# Vendor roster captured manually from a peptidebase.io directory view.
# Format: name<TAB>country
# These are company NAMES only -- resolve_vendors.py turns them into real
# company websites via the search API, then the agent processes those.
Chameleon Peptides	United States
Panda Peptides	United States
Prime Peptides	United States
Peptide Partners	United States
Limitless Peptides	United States
Biotech Peptides	United States
Blank Peptides	United States
Swiss Chems	United States
Amino Pure Canada	Canada
Corix Research Labs UK Limited	United Kingdom
Eternal Peptides	United States
EZ Peptides	United States
Forge Performance Co.	United States
Honest Peptide	United States
LiveWell Peptides	United States
Peptide Researches	United States
Peptuvia	United States
Pivot Labs Global	United States
Sports Technology Labs	United States
Virtus Peptides	United States
Wholesale Peptides	United Kingdom
ADVBioLabs	Australia
Alpha Omega Peptide	United States
AminoVault	United States
Ascension Peptides	United States
Behemoth Labz	United States
Bluewell Peptides	United Kingdom
Bulk Peptide Wholesale	United States
CK Peptides	United Kingdom
Core Peptides	United States
Crush Research	United States
Direct Peptides	United States
Elite Biogenix	United States
EuroPeptides	Germany
Fusion Peptide	United States
Imperial Peptides UK	United Kingdom
Kimera Chems	United States
Licensed Peptides	United States
Longevity Peptides	United States
Modern Research Peptides	United States
Nantong Guangyuan Chemical Co., Ltd.	China
Nationwide Peptides	United States
Nexaph	United States
NextGen Peptides	United States
NuScience	United States
Orbitrex Peptides	United States
Oros	United States
Particle Peptides	Slovakia
PeptidePlugs	United States
Pharma Lab Global	Australia
Pinnacle Peptide Labs	United States
Polygon Peptides	United Kingdom
Puratek Peptides	United States
Pure Health Peptides	United States
Pure Peptides UK	United Kingdom
Purity Peptides	Canada
Real Peptides	United States
RUO	United States
Silverback Peptides	Australia
SIMPLE PEPTIDE	United States
Solyn	United States
Soma Peptides	United States
Tide Labs	United Kingdom
Titan Peptide Lab	United States
UMBRELLA LABS	United States
VPeptide	Canada
XL Peptides	United Kingdom
Amino Asylum	United States
Amino Club	United States
Aminologix	United States
Australian Peptide Store	Australia
Australian Peptides	Australia
BioEdge Research Labs	United States
Bioplex Peptides	United Kingdom
Blue Sky Peptide	United States
Bondi Peptides	Australia
Chemyo	United States
Compounding Rx USA	United States
Disguised Alpha	United States
Dr Peptides	United Kingdom
Element SARMS	United States
Ignite Peptides	United States
Ion Peptide	United States
Iron Labs	United States
Limitless Life Nootropics	United States
Mile High Compounds	United States
MR Peptides AU	Australia
MR Sarm	United States
NCRP	Canada
Nexgen Peptides	United States
NZ's Peptide Research Supply	New Zealand
Oath Research	United States
PepKits	United States
Peptide Pros	United States
Peptide Supply Co.	United States
Peptide Tech	United States
Peptide Warehouse	Canada
Peptides BioTech	United States
Peptides Canada	Canada
Peptides Lab UK	United Kingdom
Peptides Source	United States
Peptides UK	United Kingdom
Peptidology	United States
Peptira	United States
Platinum Lion Peptides	United States
Protide Health	United States
Pure Lab Peptides	United States
Pure Peptides	United States
Reinvention Compounds	United States
Rescue Research	United States
Restore Peptides	United States
RetaOne	United States
USA Made Research Peptides	United States
Valor Peptides	United States
Verified Peptides	United States
Vicorpus	Australia
10 Bottle Value	Latvia
AMC Essentials	United States
American Peptide Research	United States
AminoWell	United States
Anglo Peptides	United Kingdom
Atomik Labs	United States
Bio Hacker Lab	United States
Biolongevity Labs	United States
Blackline Scientific	United States
Bulk Research Supply	United States
Core Labs AU	Australia
Double R Labs	United States
Elite Research	United States
GenScript	United States
Glacier Aminos	United States
Global Peptide Sciences	Australia
Glow Aminos	United States
Good Science	United States
Grey Axis Research	United States
Helixora Peptides	United States
Iluma Peptide Co	United States
Iron Within	United States
Kalyx Labs	United States
Lab Rats	United States
LabGrade Peptides	United States
Liberty Peptides	United States
Limitless Biochem	United States
Maple Research Labs	Canada
MedChemExpress	United States
Modern Aminos	United States
My Peptide	Australia
NordSci Peptides	United States
OmegaAmino	United States
Onyx Biolabs	United States
Paradigm Peptide	United States
Peptagenix Peptides	United Kingdom
Peptide Centre	United States
Peptide Foundry	United States
Peptide Works	United States
Peptides Certified	United States
Peptime	United States
Performance Peptides Canada	Canada
Phoenix Pharmaceuticals	United States
Planet Peptide	United States
Polar Peptides	Canada
Polaris Peptides	United States
PROFORMA PEPTIDES UK	United Kingdom
PureRawz	United States
Raven's Nest	United States
Raw Amino	United States
Regenerative Research	United States
Research Peptides UK	United Kingdom
Skye Peptides	United States
SomaChems	United States
UK Peptides	United Kingdom
Veltrix Peptides	China
Verified Pure Peptides	United States
Warrior Makers	United States
Welli Labs	United States
Wholesale Peptide	United States
XPeptides	Canada
Zesty Rat	United States
NordPure	Norway
OP Labs	United Kingdom
Pepcore	Netherlands
Peptagenix	United Kingdom
Peptide Lab+	New Zealand
Peptide Warehouse Australia	Australia
Precision Research UK Ltd	United Kingdom
