business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Chronos BHW,LA,New Orleans,https://chronosbhw.com/,info@chronosbhw.com,info@chronosbhw.com,(504) 267-4549; (866) 279-2111; (886) 279-2111,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Compare GLP-1 Clinics & Telehealth Providers,LA,New Orleans,https://glp1clinics.org/,contact@glp1clinics.org,contact@glp1clinics.org; press@glp1clinics.org,,,"glp-1, glp1, retatrutide, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Concierge Care,LA,New Orleans,https://myviphealthhub.com/,info@myviphealth.com,info@myviphealth.com,(985) 788-7666; (985) 788-7676,,"glp-1, nad+, peptide, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
IV Lounge,LA,New Orleans,https://ivloungenola.com/,ivlounge@vieuxcarrewellness.com,ivlounge@vieuxcarrewellness.com,(504) 302-1056,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Kimball Cosmetics,LA,New Orleans,https://kimballcosmetics.com/,dr.kimball@kimballcosmetics.com,dr.kimball@kimballcosmetics.com; waqargujjar34@live.com,(412) 849-8016; (504) 442-5353,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Med Spa,LA,New Orleans,https://oakhousemedspa.com/,info@oakhousemedspa.com,info@oakhousemedspa.com,(504) 222-2995; (504) 399-4038,,"glp-1, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Weight Loss Clinic New Orleans,LA,New Orleans,https://monacohealth.net/,info@monacohealth.net,info@monacohealth.net,(504) 608-2424,,"bpc-157, glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",8,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Melanin Mhead Aesthetics & Wellness,LA,,,melaninmhead@gmail.com,melaninmhead@gmail.com,318-286-2949,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide, NAD+",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Latwana Matthew; states served: Louisiana
MOPE Clinic,LA,New Orleans,https://mopeclinic.com/,info@mopeclinic.com,info@mopeclinic.com,(504) 265-5491; (800) 433-5788,,"glp-1, peptide, peptides, pt-141, semaglutide, sermorelin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Nola Hydration,LA,New Orleans,https://nolahydration.com/,hydrationstationnola@gmail.com,hydrationstationnola@gmail.com,(504) 296-4908,,"nad+, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Rejuvené Med Spa and Wellness Center,LA,New Orleans,https://rejuvenemedspa.com/,info@rejuvenemedspa.com,info@rejuvenemedspa.com; askdrreed@rejuvenemedspa.com,(504) 688-7546,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Southern Skin and Wellness Medical Aesthetics,LA,New Orleans,https://southernskin.com/,info@southernskin.com,info@southernskin.com,(504) 900-8575,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Twenty 1 Clinic,LA,New Orleans,https://lightningwlc.com/,lightningweightlossclinic@gmail.com,lightningweightlossclinic@gmail.com,(888) 922-2739,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Uptown Wellness + Aesthetics,LA,New Orleans,https://uptownwellnessneworleans.com/,neworleans@uptownwellnessneworleans.com,neworleans@uptownwellnessneworleans.com,(504) 522-6300,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
vIVe Hydration Therapy,LA,New Orleans,https://viveiv.com/,admin@vive-iv.com,admin@vive-iv.com,(504) 619-8483; (727) 755-8483; (737) 980-8483,,"nad+, pt141",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Fleur-De-Lis Aesthetics,LA,New Orleans,https://fdlaesthetics.com/,,,(504) 874-9570,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Maison Magnolia MedSpa,LA,New Orleans,https://maisonmagnoliamedspa.com/,,,(504) 313-3923,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Weight Loss & Hormone Therapy,LA,New Orleans,https://rejuvimemedical.com/,,,(225) 228-3128; (225) 271-5711; (225) 314-8902,,"glp-1, gonadorelin, peptide, peptides, semaglutide, sermorelin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Telos Medical Aesthetics,LA,New Orleans,https://telosmedicalaesthetics.com/,,,(504) 298-4019; (504) 564-7000,,"glp-1, nad+, peptide, peptides, retatrutide, semaglutide, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
