business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
4Ever Young STL MedSpa,MO,St. Louis,https://4everyoungstl.com/,info@4everyoungstl.com,info@4everyoungstl.com,(314) 330-8117,,"glp-1, peptide, peptides, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
AP STL MedSpa,MO,St. Louis,https://apstlmedspa.com/,info@apstlmedspa.com,info@apstlmedspa.com; email%3aaestheticallypleasingstl@gmail.com,(314) 492-3067,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
beYOU bioidenticals,MO,Kansas City,https://beyoubioidenticals.com/,info@beyoubioidenticals.com,info@beyoubioidenticals.com,(913) 730-8071,,"hexarelin, nad+, peptide, peptides, sermorelin",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Clarity DPC LLC,MO,Kansas City,https://claritydpc.com/,info@claritydpc.com,info@claritydpc.com,(555) 555-5555; (816) 203-1431; (816) 264-1102,,"nad+, peptide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Find IV Therapy Near You,MO,Kansas City,https://theivdirectory.com/,hello@theivdirectory.com,hello@theivdirectory.com,(304) 667-4166; (313) 405-9509; (405) 845-3344,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Find NAD+ IV Therapy Near You,MO,Kansas City,https://nadnearme.com/,info@nadnearme.com,info@nadnearme.com,,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Healthylooks Medspa -,MO,Kansas City,https://healthylooks.com/,wellness@healthylooks.com,wellness@healthylooks.com,(816) 795-5262; (913) 456-3330,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Hollyday Med Spa | Aesthetics & Wellness Specialists,MO,Kansas City,https://hollydayspa.com/,hollydayinc@gmail.com,hollydayinc@gmail.com,(568) 137-4933; (649) 686-9383; (816) 333-4430,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Home,MO,Kansas City,https://rejuv-kc.com/,tracy@rejuv-kc.com,tracy@rejuv-kc.com; rejuvkc@gmail.com,(555) 123-4567; (816) 343-4883,,"aod-9604, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, tb500, tesamorelin, thymosin, tirzepatide",18,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Illumé Med Spa & Wellness Center,MO,Kansas City,https://illumemedspa.com/,info@illumemedspa.com,info@illumemedspa.com,(816) 214-5260,,"glp-1, nad+, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Karma Beauty & Wellness,MO,Kansas City,https://karmabeautyandwellness.com/,info@karmabeautyandwellness.com,info@karmabeautyandwellness.com,(555) 555-5555; (816) 434-5108; (913) 912-1001,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
KC Wellness Center,MO,Kansas City,https://kcmedicalwc.com/,info@kcmedicalwc.com,info@kcmedicalwc.com,(816) 214-5276,,"glp-1, peptide, peptides, retatrutide, semaglutide, sermorelin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
LaRue Aesthetics & Wellness,MO,Kansas City,https://ivandwellness.com/,brooklyne@laruehealthcollective.com,brooklyne@laruehealthcollective.com,(816) 718-6211,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
LUX Wellness | Cutting Edge Wellness. Personalized Care.,MO,Kansas City,https://luxwellnesskc.com/,info@luxwellnesskc.com,info@luxwellnesskc.com,(816) 200-1114,,"bpc-157, ghk-cu, glp-1, nad+, peptide, peptides, semaglutide, tb-500, tesamorelin, tirzepatide",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Mantality Health,MO,St. Louis,https://mantalityhealth.com/,info@mantalityhealth.com,info@mantalityhealth.com,(262) 599-6402; (314) 254-2400; (314) 931-3113,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Med Spa St. Louis,MO,St. Louis,https://stlouisskin.com/,info2@stlouisskin.com,info2@stlouisskin.com; info@stlouisskin.com,(314) 394-3915; (314) 485-7845; (636) 748-4628,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Spa Kansas City,MO,Kansas City,https://edenwellnesskc.com/,hello@edenwellnesskc.com,hello@edenwellnesskc.com,(816) 482-9000,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
