business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Allure Aesthetics,PA,Philadelphia,https://allureaestheticsllc.com/,info@allureaestheticsllc.com,info@allureaestheticsllc.com,(484) 705-2312; (610) 393-1253,,"peptide, peptides, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Eterno Wellness,PA,Philadelphia,https://eterno-wellness.com/,eternowellness@gmail.com,eternowellness@gmail.com,(215) 776-8821,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Med Spas Cape May, NJ",PA,Philadelphia,https://capemaywellness.com/,capemaywellness24@gmail.com,capemaywellness24@gmail.com,(609) 232-7350,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Spa,PA,Philadelphia,https://yofiaesthetics.com/,info@yofiaesthetics.com,info@yofiaesthetics.com,(267) 710-9562,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Meeting Point Health,PA,Philadelphia,https://meetingpointhealth.com/,hello@meetingpointhealth.com,hello@meetingpointhealth.com,(215) 298-9928; (392) 022-0090,,"5-amino-1mq, bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, thymosin, tirzepatide",27,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
NDA Medical Spa,PA,Philadelphia,https://ndamedicalspa.com/,noelle@ndamedicalspa.com,noelle@ndamedicalspa.com,(609) 997-2639,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Philly Anti Aging,PA,Philadelphia,https://phillyantiaging.com/,support@phillyantiaging.com,support@phillyantiaging.com,(215) 398-4463,,"aod-9604, bpc-157, cjc-1295, dsip, epitalon, ipamorelin, melanotan, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin, tirzepatide",20,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
PhillyMedClub,PA,Philadelphia,https://phillymedclub.com/,info@phillymedclub.com,info@phillymedclub.com,(215) 770-1830,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Robot Challenge Screen,PA,Philadelphia,https://philamedgroup.com/,info@philamedgroup.com,info@philamedgroup.com,(215) 383-9936,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Serenity Aesthetics and Wellness,PA,Philadelphia,https://serenityawmedspa.com/,info@serenityawmedspa.com,info@serenityawmedspa.com,(215) 278-6638,,"nad+, peptide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The Falcone Center,PA,Philadelphia,https://drvictoriafalcone.com/,info@falconecenter.com,info@falconecenter.com; heather@falconecenter.com; jaime@falconecenter.com; michele@falconecenter.com,(215) 586-3304,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Body+Beauty Lab,PA,Philadelphia,https://bodyandbeautylab.com/,,,(215) 258-8301; (215) 645-5664; (561) 349-6599,,"aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, kisspeptin, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tesamorelin, tesofensine, thymosin",21,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dr. Christian Subbio,PA,Philadelphia,https://drsubbio.com/,,,(610) 232-7111; (610) 232-7607; (610) 255-7277,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Philadelphia Eyelid Surgery (Blepharoplasty),PA,Philadelphia,https://drjohnleesurgery.com/,,,(484) 642-8125; (610) 789-6701,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
PWC: A Trusted Health & Wellness Center in Philly,PA,Philadelphia,https://phillywellnesscenter.com/,,,(215) 709-9710,,"5-amino-1mq, aod-9604, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, selank, semaglutide",12,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The J Spot,PA,Philadelphia,https://jspotwellness.com/,,,(215) 437-7300,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Viva Care Solutions,PA,Philadelphia,https://vivacaresolutions.com/,,,(215) 681-1295,,"glp-1, nad+",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
