business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Alive IV and Wellness,OR,Portland,https://aliveivandwellness.com/,info@aliveivandwellness.com,info@aliveivandwellness.com,(877) 696-6775; (971) 801-0001,,"nad+, semaglutide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Boost IV,OR,Portland,https://boost-iv.com/,hello@boost-iv.com,hello@boost-iv.com,(503) 997-6757; (971) 533-1700,,"glp-1, nad+, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Cosmetiq Medicine,OR,Portland,https://cosmetiqmedicine.com/,cosmetiqmedicine@gmail.com,cosmetiqmedicine@gmail.com,(503) 572-2675,,"glp-1, nad+, peptide, peptides, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Dr. Heather Friedman ND, LAc",OR,Portland,https://drheatherfriedman.com/,drheatherfriedman@gmail.com,drheatherfriedman@gmail.com,(971) 717-3008,,"glp-1, nad+, peptide, peptides, semaglutide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Holistic Med Spa & Wellness,OR,Portland,https://venyamed.com/,info@venyamed.com,info@venyamed.com; adelolmo@venyamed.com; mymail@mailservice.com,(503) 444-9294,,glp-1,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Low Testosterone Treatment Portland, OR",OR,Portland,https://optimizeupdx.com/,info@optimizeupdx.com,info@optimizeupdx.com,(971) 420-3060,,"glp1, nad+, peptide, peptides, semaglutide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Med Matrix,OR,Portland,https://medmatrixusa.com/,info@medmatrixusa.com,info@medmatrixusa.com,(207) 544-4643,,"aod-9604, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, sermorelin, thymosin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Metta Wellness NW,OR,Portland,https://mettawellnessnw.com/,support@mettawellnessnw.com,support@mettawellnessnw.com; admin@mettawellnessnw.com,(509) 255-3527; (509) 639-3394; (509) 639-3398,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
My Direct Health,OR,,,mydirecthealth@gmail.com,mydirecthealth@gmail.com,5418160952,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Laurie Dahl; states served: Washington, oregon at the moment some hawaii"
"One moment, please...",OR,Portland,https://thriveportland.com/,info@thriveportland.com,info@thriveportland.com,(503) 928-6581,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Ortho-Regen,OR,Portland,https://ortho-regenpdx.com/,info@multnomahortho.com,info@multnomahortho.com,,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Quenby's Aesthetic & Wellness,OR,Portland,https://quenbyswellnesscenter.com/,info@quenbyswellnesscenter.com,info@quenbyswellnesscenter.com; info@ndiscovered.com,(503) 303-5472,,"nad+, peptide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
SANTÉ Aesthetics,OR,Portland,https://santepdx.com/,info@santepdx.com,info@santepdx.com,(971) 407-3066; (971) 407-3067,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Soleil Medical & Beauty Spa,OR,Portland,https://soleilmedicalspapdx.com/,info@soleilmedicalspa.com,info@soleilmedicalspa.com,(503) 244-7717,,"nad+, peptide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The Natural Path,OR,Portland,https://naturalpathmed.com/,info@naturalpathmed.com,info@naturalpathmed.com,(503) 347-4625,,"glp-1, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"TRT therapy Portland, OR",OR,Portland,https://portland-or.testosterone-level.com/,info@testosterone-level.com,info@testosterone-level.com,,,"bpc-157, cjc-1295, ipamorelin, peptide, peptides, sermorelin, tb-500",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
