business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Chi Aesthetics,NJ,Newark,https://chiaesthetics.com/,info@chiaesthetics.com,info@chiaesthetics.com,(631) 315-3883,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"Empire Medical Training: Hands-On CME Courses for Physicians, Nurses & Dentists",NJ,Newark,https://empiremedicaltraining.com/,info@empiremedicaltraining.com,info@empiremedicaltraining.com,(844) 997-3231; (866) 333-6747,,"aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",25,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Hello hydration,NJ,,,drtameem@hellohydrationnj.com,drtameem@hellohydrationnj.com,6394792127,,"Office use Semaglutide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Tameem murtuza; states served: Nj
HL Med Spa,NJ,Newark,https://hlmedspa.com/,sp@hlmedspa.com,sp@hlmedspa.com,(973) 351-4645,,"glp-1, nad+",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
IV Elements,NJ,Newark,https://ivelements.net/,info@ivelements.net,info@ivelements.net,(806) 990-1505; (807) 988-0492; (809) 096-0104,,"bpc157, glp-1, nad+, peptide, peptides, retatrutide, semaglutide, sermorelin, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
LeDivine Medspa,NJ,Newark,https://ledivinemedspa.com/,lehrbaum7@hotmail.com,lehrbaum7@hotmail.com,(973) 477-6937,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
LuxVitality,NJ,,,luxvitalityllc@gmail.com,luxvitalityllc@gmail.com,908-930-3314,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Jennifer; states served: New Jersey
Mecca Spa NJ,NJ,Newark,https://meccaspa.com/,contact@meccamedical.com,contact@meccamedical.com,(973) 775-9380,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Weight Loss & GLP-1 Treatment,NJ,Newark,https://theaestheticconcierge.co/,hello@theaestheticconcierge.co,hello@theaestheticconcierge.co,(704) 237-0887,,"glp-1, glp1, nad+, peptide, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
New Jersey Functional Medicine,NJ,Newark,https://newjerseyfunctionalmed.com/,drfuksina@astramdhealth.com,drfuksina@astramdhealth.com,(862) 281-6587,,"cjc1295, epitalon, glp-1, ipamorelin, melanotan, oxytocin, peptide, peptides, pt-141, pt141, semaglutide, sermorelin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
