business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Aesthetic Center of Excellence,OK,Oklahoma City,https://acemedspa.com/,admin@acemedspa.com,admin@acemedspa.com,(405) 452-0055,,"bpc-157, ghk-cu, glp-1, nad+, peptide, peptides, semaglutide, semax, tb-500, tirzepatide",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Bella Luce Med Spa,OK,Oklahoma City,https://bellaluceokc.com/,info@bellaluceokc.com,info@bellaluceokc.com,(405) 486-7450,,"glp-1, glp1, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Disclosed Labs — Peptide Vendor Trust Scores & Price Comparison,OK,Oklahoma City,https://disclosedlabs.com/,corrections@disclosedlabs.com,corrections@disclosedlabs.com; support@instantpeptides.com; support@ionpeptide.com; sales@peptideplugs.com,(251) 021-0011; (251) 110-0047; (260) 116-0007,,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, tesofensine, thymosin, tirzepatide",32,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Ethos Wellness Center,OK,Oklahoma City,https://ethoswellnessok.com/,info@ethoswellnessok.com,info@ethoswellnessok.com,(405) 309-1081,,"bpc-157, cjc-1295, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, selank, tb-500, thymosin",11,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
KC Wellness,OK,Oklahoma City,https://kcwellnessokc.com/,kelli@kcwellness.life,kelli@kcwellness.life,(405) 704-6673,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Lamkin Clinic,OK,Oklahoma City,https://lamkinclinic.com/,connect@lamkinclinic.com,connect@lamkinclinic.com,(405) 285-4762,,"aod-9604, bpc-157, cjc-1295, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, semaglutide, sermorelin, tb-500, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Longevity Medical Spa,OK,Oklahoma City,https://longevityok.com/,contact@longevityok.com,contact@longevityok.com,(405) 607-1700; (405) 607-1701; (405) 703-4990,,"nad+, peptide, peptides, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Lowe Plastic Surgery,OK,Oklahoma City,https://loweplasticsurgery.com/,info@loweplasticsurgery.com,info@loweplasticsurgery.com,(405) 942-4300,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Magnolia Wellness,OK,,,brittiany@coyernp.com,brittiany@coyernp.com,9186943182,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Brittiany Coyer; states served: Oklahoma
Pathway Health & Beauty,OK,,,tia@pathwayhealthandbeauty.com,tia@pathwayhealthandbeauty.com,918-457-9347,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,"contact: Tia Christ, NP; states served: Oklahoma Utah Colorado"
