business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Adult Health N.P.,NY,New York,https://limedicalaesthetics.com/,info@limedicalaesthetics.com,info@limedicalaesthetics.com,(516) 442-7088,,"aod9604, bpc-157, dsip, epitalon, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, selank, semaglutide, sermorelin, tb500, tesamorelin, thymosin",16,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Atlas Men's Health,NY,New York,https://atlasmenshealth.com/,info@atlasmenshealthny.com,info@atlasmenshealthny.com,(332) 290-3888; (516) 201-2818,,"ghk-cu, glp-1, mots-c, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tesamorelin, thymosin, tirzepatide",12,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Balanced Health & Wellness,NY,Long Island,https://balancedhealthli.com/,balancedhealthli@gmail.com,balancedhealthli@gmail.com,(631) 600-7950; (631) 886-1831,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Collagen Bar NYC,NY,New York,https://collagenbar.nyc/,hello@collagenbar.nyc,hello@collagenbar.nyc,(203) 241-8813; (917) 512-9880,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Coolspa by Aethos | Coolspa by Aethos,NY,New York,https://coolspa.com/,concierge@coolspa.com,concierge@coolspa.com; info@aethosnyc.com,(212) 249-0439; (212) 249-4990; (212) 520-1129,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dr. Golberg,NY,New York,https://drgolberg.nyc/,office@drgolberg.nyc,office@drgolberg.nyc,(212) 201-0719; (718) 759-0100,,"bpc-157, cjc-1295, dsip, glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, sermorelin, tb-500, thymosin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Dr. Syra Aesthetics & Longevity Institute,NY,New York,https://syraaesthetics.com/,contact@syraaesthetics.com,contact@syraaesthetics.com,(646) 912-8020; (900) 900-1000,,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, semaglutide, tb-500, tesamorelin",11,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Drip Gym,NY,New York,https://dripgym.com/,info@dripgym.com,info@dripgym.com,(408) 493-6995; (408) 493-6998; (408) 493-8450,,"ghk-cu, glp-1, nad+, peptide, peptides, semaglutide, sermorelin",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"EVER INTEGRATIVE NP IN WOMEN'S HEALTH, PC",NY,,,everintegrativenp@gmail.com,everintegrativenp@gmail.com,516 603 5646,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: ELAINE BROWN; states served: New york
Extension Health,NY,New York,https://extension.health/,cconcierge@extension.health,cconcierge@extension.health; concierge@extension.health; extension@hudson.health,(800) 778-7879; (800) 952-5210; (929) 556-6647,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
