business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Altitude,UT,Salt Lake City,https://altitudemedspa.com/,heythere@altitudemedspa.com,heythere@altitudemedspa.com,(801) 203-2822; (801) 230-2822,,"aod-9604, bpc-157, cjc-1295, ipamorelin, peptide, peptides, semaglutide, thymosin, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Astra Health and Wellness,UT,,,info@astrahealthandwellness.com,info@astrahealthandwellness.com,435-565-1384,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Maranda; states served: Utah
Envision Cosmetic Surgery,UT,Salt Lake City,https://envisionsurgery.com/,aacs@1.2x-150x144.avif,aacs@1.2x-150x144.avif; aacs@1.2x.avif; doc-secbg@1.2x-3.avif; drdunkley@1.2x.avif; herobgover@1.2x.avif; m-herobg@1.2x-21.avif,(801) 268-2650,,"bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, ipamorelin, melanotan, nad+, peptide, peptides, retatrutide, selank, semaglutide, semax, tb-500, thymosin, tirzepatide",17,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
FH Clinic,UT,,,marcos.limeiraseg@gmail.com,marcos.limeiraseg@gmail.com,7152400054,,"Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Marcos Limeira; states served: UT and FL
Haven medical,UT,,,lseber79@gmail.com,lseber79@gmail.com,801-244-1433,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Laura Slaugh; states served: Utah
Imago Medical Spa,UT,Salt Lake City,https://imagomedicalspa.com/,info@imagomedicalspa.com,info@imagomedicalspa.com,(385) 388-8600; (480) 626-4366; (801) 295-3439,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Joint Regeneration Center of Utah,UT,Salt Lake City,https://regenerationutah.com/,hello@regenerationutah.com,hello@regenerationutah.com; hello@nulifemedicalmi.com,(801) 996-3592,,"bpc-157, cjc-1295, glp-1, ipamorelin, melanotan, peptide, peptides, semaglutide, sermorelin, thymosin",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Kaav Medical & Aesthetics,UT,,,teya@kaavmedical.com,teya@kaavmedical.com,8017212548,,"Office use Tirzepatide, Patient Specific Tirzepatide, NAD",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Teya Wilson; states served: Utah
Liv Aesthetics & Wellness,UT,Salt Lake City,https://liv-aesthetics.com/,katie@liv-aesthetics.com,katie@liv-aesthetics.com; olivia@liv-aesthetics.com; eben@eyebytes.com; hi@typemade.mx,(801) 559-7455; (801) 980-8893,,"cjc-1295, glp-1, glp1, ipamorelin, nad+, peptide, peptides, sermorelin, tesamorelin",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Modern SLC Injections & Aesthetics,UT,Salt Lake City,https://modernslc.com/,info@modernslc.com,info@modernslc.com; info@uhh.ybs.mybluehost.me,(801) 405-9634; (801) 516-8884,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Potere Health MD,UT,Salt Lake City,https://poterehealthmd.com/,info@poterehealthmd.com,info@poterehealthmd.com,(247) 025-0015; (366) 024-0166; (435) 229-2622,,"glp-1, glp1, peptide, retatrutide, semaglutide, sermorelin, tesamorelin, tirzepatide",8,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Regenerative Wellness Center,UT,Salt Lake City,https://regwellness.com/,info@regwellness.com,info@regwellness.com; privacy@regwellness.com; info@hrxpharmacy.com; info@vertisis.com; customerservice@mcguff.com,(801) 797-5901; (801) 797-5906,,"glp-1, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Robot Challenge Screen,UT,Salt Lake City,https://hausofaesthetics.com/,livi.roberts@hausofaestheticsslc.com,livi.roberts@hausofaestheticsslc.com,(801) 823-6521; (801) 845-0934; (801) 852-0033,,peptide,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Saltz Plastic Surgery,UT,Salt Lake City,https://saltzplasticsurgery.com/,info@saltzplasticsurgery.com,info@saltzplasticsurgery.com,(435) 655-6612; (801) 274-9500,,"glp-1, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
The Vitamin Bar,UT,Salt Lake City,https://thevitaminbariv.com/,info@thevitaminbariv.com,info@thevitaminbariv.com; inquire@thevitaminbariv.com; slc@thevitaminbariv.com,(208) 330-6167; (312) 826-1191; (435) 659-4914,,"glp-1, nad+, peptide, peptides, semaglutide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Utah Stem Cells,UT,Salt Lake City,https://utahstemcells.com/,info@utahstemcells.com,info@utahstemcells.com,(801) 999-4860,,"bpc-157, cjc-1295, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, sermorelin, tb-500",10,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Weight wellness,UT,,,lindseymtebbs@gmail.com,lindseymtebbs@gmail.com,4352560065,,"Office use Semaglutide, Office use Tirzepatide, Patient specific Semaglutide, Patient Specific Tirzepatide",,med spa / clinic (intake form),peptide intake form (Drive),,contact: Lindsey Tebbs; states served: Utah
Draper Aesthetics/SLC Med Spa,UT,Salt Lake City,https://slcmedspa.com/,,,(801) 419-0551; (801) 823-4175,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
