business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
"429, Rate Limited",NV,Las Vegas,https://revolution-wellness.org/,info@amyleebassnpc.com,info@amyleebassnpc.com,(725) 278-5966,,"nad+, peptide, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetics MedSpa,NV,Reno,https://aestheticsmedspa.com/,support@aestheticsreno.com,support@aestheticsreno.com,(775) 204-6757; (775) 825-1586,,"peptide, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Atlas Health Institute,NV,Las Vegas,https://atlashealthinstitute.com/,atlaslasvegas@gmail.com,atlaslasvegas@gmail.com,(702) 778-5900,,"nad+, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Avance Plastic Surgery,NV,Reno,https://avanceplasticsurgery.com/,info@avanceinstitute.com,info@avanceinstitute.com,(775) 205-8322; (775) 800-4444,,"semaglutide, tirzepatide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Beverly Hills Rejuvenation Center,NV,Las Vegas,https://bhrcenter.com/,info@bhrcenter.com,info@bhrcenter.com; noel@ideationmarketingllc.com,(201) 597-0285; (210) 888-8889; (213) 376-2344,,"aod-9604, bpc-157, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, semaglutide, sermorelin, tb-500, thymosin, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Body Balance Medical,NV,Las Vegas,https://bodybalancemedical.com/,contactus@bodybalancemedical.com,contactus@bodybalancemedical.com,(702) 417-1261,,"glp-1, nad+, peptide, peptides, semaglutide, sermorelin, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
BP Royal Medspa,NV,Henderson,https://bproyalmedspa.com/,info@bproyalmedspa.com,info@bproyalmedspa.com,(702) 899-7100,,"glp-1, nad+, peptide, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Elevate Medical Group,NV,Henderson,https://elevatemedgroup.com/,marta@elevatemedgroup.com,marta@elevatemedgroup.com; martha@elevatemedgroup.com,(702) 800-5695,,"glp-1, nad+, peptide, peptides, pt-141, retatrutide, semaglutide, sermorelin, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
elevatehealthnv.com,NV,Reno,https://elevatehealthnv.com/,admin@elevatehealthnv.com,admin@elevatehealthnv.com,(775) 430-1207,,"bpc-157, ghk-cu, glp-1, peptide, peptides, semaglutide, sermorelin, tb500, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Get The Most Out Of Peptides,NV,Las Vegas,https://seekpeptides.com/,hello@seekpeptides.com,hello@seekpeptides.com,,,"aod-9604, bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, hexarelin, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, semaglutide, semax, sermorelin, tb-500, thymosin, tirzepatide",19,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
