business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
Capitol Contours,DC,Washington,https://capitolcontours.com/,info@capitolcontours.com,info@capitolcontours.com; christine@washncgroup.com,(703) 337-3483; (703) 779-3301; (703) 991-4851,,glp-1,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Cosmetic Medicine & Gynecology,DC,Washington,https://womenshealthofmd.com/,info@womenshealthofmd.com,info@womenshealthofmd.com,(410) 768-0262; (410) 768-7730,,"glp-1, semaglutide, tirzepatide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
En Santé Med,DC,Washington,https://ensantemed.com/,info@ensantemed.com,info@ensantemed.com; admin@ensantemedicalspa.com,(703) 888-8589,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Evexia Medspa,DC,Washington,https://evexiamedspa.com/,evexia@evexiamedspa.com,evexia@evexiamedspa.com,(571) 556-4841,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Medical Cosmetic,DC,Washington,https://medicalcosmetic.org/,mcelaser@gmail.com,mcelaser@gmail.com,(202) 621-8675,,"glp-1, peptide, peptides, semaglutide, tirzepatide",5,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Peptide Match,DC,Washington,https://peptidematch.io/,legal@peptidematch.io,legal@peptidematch.io,,,"glp-1, peptide, peptides, semaglutide, sermorelin, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
ProMD Health,DC,Washington,https://promdhealth.com/,consults@promdhealth.com,consults@promdhealth.com,(410) 449-2060,,"aod-9604, bpc-157, cjc1295, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tb500, tirzepatide",13,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Restorative Health & Wellness,DC,Washington,https://restorativehw.com/,welcome@restorativehw.com,welcome@restorativehw.com,(202) 900-1650; (703) 506-3786,,"bpc-157, glp-1, nad+, peptide, peptides, thymosin",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Ritual by Tracy Holzman NP-C,DC,Washington,https://ritualbyth.com/,tracy@ritualbyth.com,tracy@ritualbyth.com,(202) 844-2655,,"glp-1, nad+, peptide, peptides",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Sanctuary Cosmetic Center,DC,Washington,https://sanctuarycosmeticcenter.com/,info@sanctuarycosmeticcenter.com,info@sanctuarycosmeticcenter.com,(571) 596-6793,,glp-1,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Shore MedSpa & Bio Aesthetics,DC,Washington,https://drshoremedspa.com/,info@drshoremedspa.com,info@drshoremedspa.com,(301) 901-7661,,"glp-1, nad+, peptide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Center for Plastic Surgery,DC,Washington,https://cpsdocs.com/,,,(301) 652-7700; (571) 240-5557; (571) 688-1113,,"bpc157, epitalon, glp-1, hexarelin, ipamorelin, mots-c, nad+, peptide, peptides, selank, semaglutide, semax, tb500, tesamorelin, thymosin, tirzepatide",16,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Chopra Cosmetic Surgery,DC,Washington,https://chopracosmeticsurgery.com/,,,(703) 962-2520,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
DC Drip,DC,Washington,https://dc-drip.com/,,,(202) 843-5420,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
District Testosterone Washington DC,DC,Washington,https://districttestosterone.com/,,,(202) 800-0612,,"peptide, peptides, semaglutide, tirzepatide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Javan Wellness,DC,Washington,https://javanwellness.com/,,,(202) 868-5986; (202) 868-5993; (571) 363-3063,,"glp-1, peptide, peptides",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
MindBodyPinnacle Health,DC,Washington,https://mindbodypinnaclehealth.com/,,,(443) 713-8643,,"peptide, peptides",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
OptiHealth Institute of Baltimore,DC,Washington,https://baltimoreantiaging.com/,,,(443) 707-2204; (443) 737-4456,,"cjc1295, epitalon, ghk-cu, glp-1, ipamorelin, melanotan, oxytocin, peptide, peptides, pt-141, pt141, semaglutide, tb-500, tirzepatide",14,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Robot Challenge Screen,DC,Washington,https://dc.thedripbar.com/,,,(202) 998-8242,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
