business_name,state,city,website,email,all_emails,phone,instagram,peptide_terms_found,peptide_hits,category,source,source_query,notes
ActiveMed Integrative Health Center,CA,San Diego,https://activemedhealth.com/,info@activemedhealth.com,info@activemedhealth.com,(858) 673-4400; (858) 673-4499,,"glp-1, nad+, peptide, peptides, semaglutide, tirzepatide",6,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetic Envy,CA,Sacramento,https://aestheticenvy.com/,info@aestheticenvy.com,info@aestheticenvy.com,(916) 333-4906,,"nad+, semaglutide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Aesthetica Med Spa,CA,San Diego,https://aestheticamedspasd.com/,aestheticamedspasd@gmail.com,aestheticamedspasd@gmail.com,(619) 204-5843,,"bpc-157, ghk-cu, glp-1, peptide, peptides, pt-141, semaglutide, sermorelin, tirzepatide",9,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Alchemy 43,CA,Newport Beach,https://alchemy43.com/,info@alchemy43.com,info@alchemy43.com; careers@alchemy43.com,(212) 540-0743; (214) 937-4543; (310) 554-7343,,"glp-1, nad+, peptide",3,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Amaira Med Spa,CA,Beverly Hills,https://amairamedspa.com/,info@amairamedspa.com,info@amairamedspa.com,(200) 002-8910; (561) 210-1989; (561) 606-9307,,"bpc-157, ghk-cu, glp-1, glp1, ipamorelin, nad+, oxytocin, peptide, peptides, pt-141, semaglutide, sermorelin, tb-500, tb500, tesamorelin, tirzepatide",16,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
AOB Aesthetics & Wellness -,CA,Newport Beach,https://aobaesthetics.com/,support@aobaesthetics.com,support@aobaesthetics.com,(949) 658-3169,,"bpc-157, glp-1, peptide, peptides, retatrutide, semaglutide, tirzepatide",7,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
"ASAP IVs - IV Hydration Experts of San Diego, Phoenix, Scottsdale, San Francisco",CA,San Jose,https://asapivs.com/,taylor@asapivs.com,taylor@asapivs.com,(415) 295-2316; (619) 431-1714,,nad+,1,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
Avena Natural Health,CA,San Diego,https://avenanaturalhealth.com/,admin@avenanaturalhealth.com,admin@avenanaturalhealth.com,(619) 630-9517; (619) 955-6555,,"nad+, peptide, peptides, semaglutide",4,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
B Medical Spa and Wellness Center,CA,San Diego,https://bmedspa.com/,info@bmedspa.com,info@bmedspa.com,(619) 890-9985,,"glp-1, peptide",2,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
B12 LOVE | Nutrient Therapies and Longevity Services - Longevity Services to Ene,CA,San Francisco,https://b12love.com/,support@b12love.com,support@b12love.com; luxeservices@b12love.com,(415) 580-0033,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, pt-141, semaglutide, sermorelin, tb-500, tesamorelin",14,med spa / clinic (site confirmed),web discovery (Startpage) + site crawl,medspa_search,
